,CLAXTON,JOHNSON,SHARPE,FINNEY-SMITH,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.5,N/A,N/A,0.0,N/A,1.0,N/A,N/A,3.0,N/A,N/A,N/A,1.0,1.4
% of Poss.,20.0%,0.0%,0.0%,6.7%,0.0%,46.7%,0.0%,0.0%,26.7%,0.0%,0.0%,0.0%,26.7%,15
Total FG%,50.0%,N/A,N/A,0.0%,N/A,50.0%,N/A,N/A,100.0%,N/A,N/A,N/A,33.3%,55.6%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,1.0,N/A,N/A,3.0,N/A,N/A,N/A,nan,1.8
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0% | 0,53.3% | 4
Shooting FG%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,100.0%,N/A,N/A,N/A,nan%,75.0%
Shooting 2pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Shooting 3pt Att.,0,0,0,0,0,2,0,0,2,0,0,0,0,4
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,100.0%,N/A,N/A,N/A,nan%,75.0%
Passing PPP,1.5,N/A,N/A,0.0,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1.0
% of Passing Poss.,42.9%,0.0%,0.0%,14.3%,0.0%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0% | 3,46.7% | 5
Passing FG%,50.0%,N/A,N/A,0.0%,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,N/A,33.3%,40.0%
Passing 2pt Att.,1,0,0,0,0,1,0,0,0,0,0,0,1,2
Passing 2pt FG%,0.0%,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,50.0%
Passing 3pt Att.,1,0,0,1,0,1,0,0,0,0,0,0,2,3
Passing 3pt FG%,100.0%,N/A,N/A,0.0%,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,50.0%,33.3%
