,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DINWIDDIE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.0,7.1%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,33.3%,0.0%,0,N/A,1,0.0%
ISO,0.0,7.1%,0.0%,0.0,9.1%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,1.47,38.9%,60.0%,1.13,40.4%,50.0%,4,50.0%,0,N/A,3.0,33.3%,100.0%,0,N/A,1,100.0%
Attacking Closeouts,2.46,17.4%,100.0%,2.08,13.1%,100.0%,1,100.0%,0,N/A,3.0,33.3%,100.0%,0,N/A,1,100.0%
Catch & Shoot,1.5,28.6%,50.0%,1.5,36.4%,50.0%,0,N/A,4,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,7.1%,0.0%,0.0,9.1%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.0,7.1%,0.0%,N/A,0.0%,nan%,0,nan%,0,N/A,0,100.0%,0.0%,0,N/A,1,0.0%
TOTAL,1.34,14,50.0%,1.18,78.6%,45.5%,5,60.0%,6,33.3%,2.0,21.4%,66.7%,0,nan%,3,66.7%
