,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
HARDEN,1.09,28.7%,2,80.0%,1.09,30.7%,2,80.0%,5,80.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MAXEY,2.27,2.8%,0,N/A,2.27,2.9%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MILTON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MELTON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.86,43.8%,2,50.0%,1.0,40.0%,2,60.0%,10,60.0%,0,N/A,0.0,100.0%,0,0.0%,0,N/A,2,0.0%
Transition,1.6,5.9%,0,100.0%,1.6,6.3%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,2.27,2.8%,0,N/A,2.27,2.9%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,3.1%,0,100.0%,2.0,3.3%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.23,15.2%,1,66.7%,1.23,16.3%,1,66.7%,3,66.7%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.2,31.2%,2,80.0%,1.2,100.0%,2,80.0%,5,80.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TOTAL,1.13,32,5,63.6%,1.2,93.8%,5,70.0%,20,70.0%,0,N/A,0.0,6.2%,0,0.0%,0,nan%,2,0.0%
