,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,0.4,10.0%,25.0%,0.67,7.7%,33.3%,3,33.3%,0,N/A,0.0,18.2%,0.0%,0,N/A,1,0.0%
MOBLEY,0.61,9.8%,25.0%,0.75,10.3%,25.0%,3,0.0%,1,100.0%,0.0,8.0%,N/A,0,N/A,0,N/A
LEVERT,2.5,4.0%,100.0%,2.5,5.1%,100.0%,1,100.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
GARLAND,3.0,2.0%,100.0%,3.0,2.6%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.33,12.0%,20.0%,0.0,12.8%,0.0%,4,0.0%,0,N/A,2.0,9.1%,100.0%,1,100.0%,0,N/A
ISO,0.9,26.6%,36.4%,1.29,23.9%,50.0%,6,50.0%,2,50.0%,0.0,36.4%,0.0%,1,0.0%,2,0.0%
Transition,1.06,24.6%,50.0%,0.95,24.2%,50.0%,6,66.7%,2,0.0%,1.39,26.2%,50.0%,0,N/A,2,50.0%
Attacking Closeouts,1.06,3.8%,0.0%,2.27,2.3%,N/A,0,N/A,0,N/A,0.0,9.1%,0.0%,0,N/A,1,0.0%
Catch & Shoot,0.0,2.0%,0.0%,0.0,2.6%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,4.0%,0.0%,0.0,5.1%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.08,2.9%,100.0%,2.08,3.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.83,36.0%,37.5%,0.87,83.3%,35.7%,11,18.2%,3,100.0%,1,16.7%,50.0%,1,100.0%,1,0.0%
TOTAL,0.89,50,38.1%,1.0,78.0%,41.2%,24,41.7%,10,40.0%,0.51,22.0%,25.0%,2,50.0%,6,16.7%
