,ALLEN,MOBLEY,LEVERT,WADE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.16,0.0,N/A,N/A,N/A,1.86,0.4,1.0,1.0,0.67,N/A,1.0,1.13
% of Poss.,28.4%,3.0%,0.0%,0.0%,0.0%,35.8%,9.0%,7.5%,6.0%,6.0%,0.0%,4.5%,67
Total FG%,44.4%,0.0%,N/A,N/A,N/A,75.0%,25.0%,50.0%,33.3%,33.3%,N/A,50.0%,45.5%
Shooting PPP,1.58,N/A,N/A,N/A,N/A,1.91,0.5,1.0,1.0,0.67,N/A,1.0,1.22
% of Shooting Poss.,28.6%,0.0%,0.0%,0.0%,0.0%,28.6%,10.2%,10.2%,8.2%,8.2%,0.0%,6.1%,73.1% | 22
Shooting FG%,60.0%,N/A,N/A,N/A,N/A,75.0%,33.3%,50.0%,33.3%,33.3%,N/A,50.0%,50.0%
Shooting 2pt Att.,2,0,0,0,0,2,2,2,0,2,0,2,12
Shooting 2pt FG%,100.0%,N/A,N/A,N/A,N/A,50.0%,50.0%,50.0%,N/A,50.0%,N/A,50.0%,58.3%
Shooting 3pt Att.,3,0,0,0,0,2,1,0,3,1,0,0,10
Shooting 3pt FG%,33.3%,N/A,N/A,N/A,N/A,100.0%,0.0%,N/A,33.3%,0.0%,N/A,N/A,40.0%
Passing PPP,0.5,0.0,N/A,N/A,N/A,1.8,0.0,N/A,N/A,N/A,N/A,N/A,0.92
% of Passing Poss.,27.8%,11.1%,0.0%,0.0%,0.0%,55.6%,5.6%,0.0%,0.0%,0.0%,0.0%,0.0%,26.9% | 11
Passing FG%,25.0%,0.0%,N/A,N/A,N/A,75.0%,0.0%,N/A,N/A,N/A,N/A,N/A,36.4%
Passing 2pt Att.,1,2,0,0,0,2,0,0,0,0,0,0,5
Passing 2pt FG%,100.0%,0.0%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,60.0%
Passing 3pt Att.,3,0,0,0,0,2,1,0,0,0,0,0,6
Passing 3pt FG%,0.0%,N/A,N/A,N/A,N/A,50.0%,0.0%,N/A,N/A,N/A,N/A,N/A,16.7%
