,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.17,1.51,N/A,N/A,0.0,1.39,0.51,0.86,1.5,N/A,N/A,N/A,1.15
% of Poss.,11.1%,18.5%,0.0%,0.0%,1.9%,38.9%,13.0%,13.0%,3.7%,0.0%,0.0%,0.0%,54
Total FG%,50.0%,50.0%,N/A,N/A,0.0%,58.3%,33.3%,50.0%,50.0%,N/A,N/A,N/A,50.0%
Shooting PPP,1.0,1.45,N/A,N/A,0.0,1.3,1.6,0.86,1.5,N/A,N/A,N/A,1.17
% of Shooting Poss.,5.6%,13.9%,0.0%,0.0%,2.8%,44.4%,8.3%,19.4%,5.6%,0.0%,0.0%,0.0%,66.7% | 20
Shooting FG%,50.0%,0.0%,N/A,N/A,0.0%,57.1%,100.0%,50.0%,50.0%,N/A,N/A,N/A,50.0%
Shooting 2pt Att.,2,0,0,0,0,6,1,5,0,0,0,0,14
Shooting 2pt FG%,50.0%,N/A,N/A,N/A,N/A,50.0%,100.0%,60.0%,N/A,N/A,N/A,N/A,57.1%
Shooting 3pt Att.,0,1,0,0,1,1,0,1,2,0,0,0,6
Shooting 3pt FG%,N/A,0.0%,N/A,N/A,0.0%,100.0%,N/A,0.0%,50.0%,N/A,N/A,N/A,33.3%
Passing PPP,1.25,1.55,N/A,N/A,N/A,1.6,0.0,N/A,N/A,N/A,N/A,N/A,1.13
% of Passing Poss.,22.2%,27.8%,0.0%,0.0%,0.0%,27.8%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3% | 14
Passing FG%,50.0%,66.7%,N/A,N/A,N/A,60.0%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%
Passing 2pt Att.,1,2,0,0,0,1,1,0,0,0,0,0,5
Passing 2pt FG%,100.0%,100.0%,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,80.0%
Passing 3pt Att.,3,1,0,0,0,4,1,0,0,0,0,0,9
Passing 3pt FG%,33.3%,0.0%,N/A,N/A,N/A,50.0%,0.0%,N/A,N/A,N/A,N/A,N/A,33.3%
