,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.42,1.4,N/A,1.17,N/A,1.13,1.39,0.0,3.0,N/A,N/A,2.0,1.26
% of Poss.,22.6%,9.4%,0.0%,11.3%,0.0%,41.5%,7.5%,3.8%,1.9%,0.0%,0.0%,1.9%,53
Total FG%,63.6%,60.0%,N/A,50.0%,N/A,40.0%,50.0%,0.0%,100.0%,N/A,N/A,100.0%,51.2%
Shooting PPP,2.33,1.67,N/A,1.67,N/A,1.03,2.27,0.0,3.0,N/A,N/A,2.0,1.41
% of Shooting Poss.,10.0%,10.0%,0.0%,10.0%,0.0%,50.0%,6.7%,6.7%,3.3%,0.0%,0.0%,3.3%,56.6% | 22
Shooting FG%,100.0%,66.7%,N/A,66.7%,N/A,33.3%,N/A,0.0%,100.0%,N/A,N/A,100.0%,54.5%
Shooting 2pt Att.,3,2,0,3,0,5,0,0,0,0,0,1,14
Shooting 2pt FG%,100.0%,50.0%,N/A,66.7%,N/A,40.0%,N/A,N/A,N/A,N/A,N/A,100.0%,64.3%
Shooting 3pt Att.,0,1,0,0,0,4,0,2,1,0,0,0,8
Shooting 3pt FG%,N/A,100.0%,N/A,N/A,N/A,25.0%,N/A,0.0%,100.0%,N/A,N/A,N/A,37.5%
Passing PPP,1.11,1.0,N/A,0.67,N/A,1.29,1.0,N/A,N/A,N/A,N/A,N/A,1.09
% of Passing Poss.,39.1%,8.7%,0.0%,13.0%,0.0%,30.4%,8.7%,0.0%,0.0%,0.0%,0.0%,0.0%,43.4% | 21
Passing FG%,50.0%,50.0%,N/A,33.3%,N/A,50.0%,50.0%,N/A,N/A,N/A,N/A,N/A,47.6%
Passing 2pt Att.,2,1,0,1,0,0,2,0,0,0,0,0,6
Passing 2pt FG%,100.0%,100.0%,N/A,100.0%,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,83.3%
Passing 3pt Att.,6,1,0,2,0,6,0,0,0,0,0,0,15
Passing 3pt FG%,33.3%,0.0%,N/A,0.0%,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,N/A,33.3%
