,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,1.02,24.0%,1,44.4%,1.14,25.0%,1,50.0%,4,75.0%,2,0.0%,0.67,21.4%,0,33.3%,2,50.0%,1,0.0%
WOOD,1.11,12.9%,2,66.7%,1.16,12.3%,1,50.0%,1,100.0%,1,0.0%,1.0,14.3%,1,100.0%,1,100.0%,0,N/A
KLEBER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.01,48.4%,1,29.4%,1.02,50.6%,1,27.3%,7,28.6%,4,25.0%,1.0,42.9%,0,33.3%,0,N/A,6,33.3%
Transition,0.34,12.0%,2,0.0%,0.52,11.1%,1,0.0%,2,0.0%,0,N/A,0.0,14.3%,1,0.0%,0,N/A,1,0.0%
Attacking Closeouts,3.0,2.0%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,7.1%,0,100.0%,0,N/A,1,100.0%
Catch & Shoot,0.0,2.0%,0,0.0%,0.0,2.9%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.06,36.7%,3,50.0%,1.15,72.2%,2,50.0%,5,80.0%,3,0.0%,1,27.8%,1,50.0%,3,66.7%,1,0.0%
TOTAL,0.97,49,6,35.3%,0.98,71.4%,4,31.8%,14,42.9%,8,12.5%,0.93,28.6%,2,41.7%,3,66.7%,9,33.3%
