,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
WOOD,0.0,12.5%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,25.0%,1,N/A,0,N/A,0,N/A
KLEBER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.0,12.5%,1,N/A,0.0,25.0%,1,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,2.5,25.0%,0,100.0%,2.0,25.0%,0,100.0%,1,100.0%,0,N/A,3.0,25.0%,0,100.0%,0,N/A,1,100.0%
Attacking Closeouts,2.27,11.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.27,22.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,25.0%,0,50.0%,1.5,50.0%,0,50.0%,0,N/A,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,12.5%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,25.0%,1,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,12.5%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,25.0%,0,0.0%,0,N/A,1,0.0%
PNR / DHO,0.0,12.5%,1,nan%,N/A,0.0%,0,nan%,0,nan%,0,N/A,0,100.0%,1,N/A,0,N/A,0,N/A
TOTAL,1.13,8,3,60.0%,1.25,50.0%,1,66.7%,1,100.0%,2,50.0%,1.02,50.0%,2,50.0%,0,nan%,2,50.0%
