,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.19,14.1%,55.6%,1.31,13.8%,50.0%,4,50.0%,2,50.0%,1.0,14.8%,66.7%,3,66.7%,0,N/A
MOBLEY,0.77,13.6%,33.3%,0.4,10.0%,20.0%,5,20.0%,0,N/A,1.1,20.1%,50.0%,1,100.0%,3,33.3%
MITCHELL,3.0,1.3%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,3.7%,100.0%,0,N/A,1,100.0%
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.67,3.9%,66.7%,1.67,6.0%,66.7%,1,100.0%,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.51,25.8%,70.6%,1.37,27.8%,63.6%,8,75.0%,3,33.3%,1.83,22.2%,83.3%,4,100.0%,2,50.0%
Transition,1.65,14.1%,80.0%,1.84,9.8%,100.0%,4,100.0%,0,N/A,1.5,22.2%,66.7%,4,100.0%,2,0.0%
Attacking Closeouts,1.5,10.4%,83.3%,1.75,8.0%,75.0%,4,75.0%,0,N/A,1.25,14.8%,100.0%,1,100.0%,1,100.0%
Catch & Shoot,0.9,13.0%,30.0%,0.9,20.0%,30.0%,0,N/A,10,30.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.3%,0.0%,0.0,2.0%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,1.3%,100.0%,2.0,2.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,1.5,2.6%,50.0%,0.0,2.0%,0.0%,1,0.0%,0,N/A,3.0,3.7%,100.0%,0,N/A,1,100.0%
PNR / DHO,1.21,31.2%,50.0%,1.14,58.3%,42.9%,10,40.0%,4,50.0%,1,41.7%,62.5%,4,75.0%,4,50.0%
TOTAL,1.32,77,59.4%,1.22,64.9%,52.2%,28,64.3%,18,33.3%,1.49,35.1%,73.9%,13,92.3%,10,50.0%
