,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.07,16.8%,44.8%,1.17,14.7%,47.5%,26,53.8%,14,35.7%,0.84,25.7%,38.9%,5,100.0%,13,15.4%
MOBLEY,0.77,10.9%,35.1%,0.84,8.1%,34.8%,17,29.4%,6,50.0%,0.65,22.8%,35.7%,12,41.7%,2,0.0%
LEVERT,2.5,0.5%,100.0%,2.5,0.6%,100.0%,1,100.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
GARLAND,1.5,0.5%,50.0%,3.0,0.3%,100.0%,0,N/A,1,100.0%,0.0,1.4%,0.0%,0,N/A,1,0.0%
OTHERS,1.4,3.9%,61.5%,1.23,4.2%,54.5%,7,42.9%,4,75.0%,2.5,2.7%,100.0%,1,100.0%,1,100.0%
ISO,1.33,30.8%,54.3%,1.31,31.0%,53.3%,49,59.2%,26,42.3%,1.41,29.7%,57.9%,7,85.7%,12,41.7%
Transition,1.11,14.1%,56.1%,1.19,14.7%,58.3%,26,73.1%,10,20.0%,0.68,11.8%,40.0%,1,100.0%,4,25.0%
Attacking Closeouts,1.42,7.7%,66.7%,1.44,8.3%,66.7%,21,66.7%,0,N/A,1.25,5.4%,66.7%,2,100.0%,1,0.0%
Catch & Shoot,0.95,9.9%,31.6%,0.95,12.3%,31.6%,0,N/A,38,31.6%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.77,3.4%,30.8%,0.77,4.2%,30.8%,5,40.0%,8,25.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,0.3%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,1.4%,N/A,0,N/A,0,N/A
Off. Rebounds,1.29,1.4%,60.0%,1.29,1.8%,60.0%,5,60.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.05,32.4%,44.6%,1.14,69.4%,46.8%,51,45.1%,26,50.0%,1,30.6%,40.0%,18,61.1%,17,17.6%
TOTAL,1.15,383,48.6%,1.19,80.7%,49.1%,157,57.3%,108,37.0%,0.99,19.3%,46.8%,28,71.4%,34,26.5%
