,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MITCHELL,0.29,7.9%,20.0%,0.34,7.8%,20.0%,5,20.0%,0,N/A,0.0,8.3%,N/A,0,N/A,0,N/A
GARLAND,1.68,5.5%,66.7%,1.33,5.0%,50.0%,2,50.0%,0,N/A,3.0,8.3%,100.0%,0,N/A,1,100.0%
LEVERT,1.51,3.8%,100.0%,1.51,4.4%,100.0%,2,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.0,1.1%,100.0%,2.0,1.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.9,30.8%,47.6%,0.87,29.0%,47.1%,17,47.1%,0,N/A,1.0,41.7%,50.0%,1,100.0%,3,33.3%
Transition,1.92,7.8%,80.0%,2.25,6.5%,100.0%,4,100.0%,0,N/A,1.06,15.7%,0.0%,0,N/A,1,0.0%
Attacking Closeouts,0.85,6.8%,33.3%,1.74,3.8%,100.0%,0,N/A,1,100.0%,0.0,25.0%,0.0%,1,0.0%,1,0.0%
Catch & Shoot,0.43,16.1%,14.3%,0.43,18.7%,14.3%,1,0.0%,13,15.4%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.87,17.2%,86.7%,1.87,20.0%,86.7%,15,86.7%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,4.6%,100.0%,2.0,4.0%,100.0%,3,100.0%,0,N/A,2.0,8.3%,100.0%,1,100.0%,0,N/A
PNR / DHO,1.13,17.2%,54.5%,1.08,86.7%,50.0%,10,50.0%,0,N/A,2,13.3%,100.0%,0,N/A,1,100.0%
TOTAL,1.14,87,54.8%,1.18,86.2%,56.2%,50,66.0%,14,21.4%,0.93,13.8%,44.4%,3,66.7%,6,33.3%
