,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,0.0,9.1%,0,0.0%,0.0,10.0%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
WOOD,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KLEBER,0.0,9.1%,0,0.0%,0.0,10.0%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.0,9.1%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,100.0%,1,N/A,0,N/A,0,N/A
Transition,2.0,9.1%,0,100.0%,2.0,10.0%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,18.2%,1,100.0%,1.0,20.0%,1,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.75,36.4%,0,25.0%,0.75,40.0%,0,25.0%,0,N/A,4,25.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,0.0,9.1%,0,0.0%,0.0,10.0%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.0,18.2%,0,0.0%,0.0,100.0%,0,0.0%,1,0.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
TOTAL,0.64,11,2,33.3%,0.7,90.9%,1,33.3%,4,50.0%,5,20.0%,0.0,9.1%,1,nan%,0,nan%,0,nan%
