,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.0,0.0,N/A,0.0,N/A,1.25,0.0,1.01,1.31,N/A,0.69,0.0,1.01
% of Poss.,4.7%,2.3%,0.0%,2.3%,0.0%,9.3%,4.7%,27.9%,37.2%,0.0%,9.3%,2.3%,43
Total FG%,50.0%,N/A,N/A,N/A,N/A,66.7%,0.0%,44.4%,43.8%,N/A,100.0%,0.0%,44.1%
Shooting PPP,2.0,N/A,N/A,0.0,N/A,1.0,0.0,1.16,1.31,N/A,1.06,0.0,1.1
% of Shooting Poss.,2.9%,0.0%,0.0%,2.9%,0.0%,5.9%,5.9%,23.5%,47.1%,0.0%,8.8%,2.9%,79.1% | 29
Shooting FG%,100.0%,N/A,N/A,N/A,N/A,50.0%,0.0%,50.0%,43.8%,N/A,100.0%,0.0%,44.8%
Shooting 2pt Att.,1,0,0,0,0,1,2,6,0,0,1,1,12
Shooting 2pt FG%,100.0%,N/A,N/A,N/A,N/A,100.0%,0.0%,50.0%,N/A,N/A,100.0%,0.0%,50.0%
Shooting 3pt Att.,0,0,0,0,0,1,0,0,16,0,0,0,17
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,43.8%,N/A,N/A,N/A,41.2%
Passing PPP,0.0,0.0,N/A,N/A,N/A,1.5,N/A,0.75,N/A,N/A,0.0,N/A,0.67
% of Passing Poss.,11.1%,11.1%,0.0%,0.0%,0.0%,22.2%,0.0%,44.4%,0.0%,0.0%,11.1%,0.0%,20.9% | 5
Passing FG%,0.0%,N/A,N/A,N/A,N/A,100.0%,N/A,33.3%,N/A,N/A,N/A,N/A,40.0%
Passing 2pt Att.,0,0,0,0,0,0,0,1,0,0,0,0,1
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%
Passing 3pt Att.,1,0,0,0,0,1,0,2,0,0,0,0,4
Passing 3pt FG%,0.0%,N/A,N/A,N/A,N/A,100.0%,N/A,50.0%,N/A,N/A,N/A,N/A,50.0%
