,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.21,1.3,0.87,1.09,1.23,1.19,1.08,0.94,1.8,1.67,N/A,2.0,1.2
% of Poss.,13.8%,10.7%,2.8%,2.6%,4.2%,53.1%,6.8%,3.1%,1.8%,0.6%,0.0%,0.4%,542
Total FG%,57.6%,62.5%,46.2%,41.7%,50.0%,48.7%,47.8%,46.2%,60.0%,66.7%,N/A,100.0%,51.8%
Shooting PPP,1.3,1.5,0.93,1.0,1.14,1.16,1.38,0.93,1.8,1.0,N/A,2.0,1.22
% of Shooting Poss.,10.6%,9.0%,3.8%,1.4%,2.4%,60.1%,5.2%,3.8%,2.7%,0.5%,0.0%,0.5%,67.9% | 240
Shooting FG%,67.9%,71.4%,50.0%,40.0%,42.9%,47.7%,60.0%,45.5%,60.0%,50.0%,N/A,100.0%,53.3%
Shooting 2pt Att.,23,15,6,3,3,96,7,8,0,1,0,2,164
Shooting 2pt FG%,65.2%,86.7%,83.3%,66.7%,66.7%,53.1%,71.4%,62.5%,N/A,100.0%,N/A,100.0%,61.6%
Shooting 3pt Att.,5,6,6,2,4,36,3,3,10,1,0,0,76
Shooting 3pt FG%,80.0%,33.3%,16.7%,0.0%,25.0%,33.3%,33.3%,0.0%,60.0%,0.0%,N/A,N/A,35.5%
Passing PPP,1.12,1.05,0.0,1.14,1.29,1.28,0.83,1.0,N/A,3.0,N/A,N/A,1.16
% of Passing Poss.,20.7%,14.4%,0.6%,5.2%,8.0%,38.5%,10.3%,1.7%,0.0%,0.6%,0.0%,0.0%,32.1% | 142
Passing FG%,48.4%,52.6%,0.0%,42.9%,53.8%,50.9%,38.5%,50.0%,N/A,100.0%,N/A,N/A,49.3%
Passing 2pt Att.,8,10,0,3,4,8,6,0,0,0,0,0,39
Passing 2pt FG%,87.5%,100.0%,N/A,66.7%,75.0%,75.0%,50.0%,N/A,N/A,N/A,N/A,N/A,79.5%
Passing 3pt Att.,23,9,1,4,9,47,7,2,0,1,0,0,103
Passing 3pt FG%,34.8%,0.0%,0.0%,25.0%,44.4%,46.8%,28.6%,50.0%,N/A,100.0%,N/A,N/A,37.9%
