,HARDEN,MAXEY,MILTON,MELTON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.27,1.14,N/A,N/A,N/A,0.99,1.5,1.0,0.0,N/A,0.0,1.6,1.26,1.05
% of Poss.,17.7%,3.8%,0.0%,0.0%,0.0%,54.4%,8.9%,5.1%,2.5%,0.0%,1.3%,6.3%,21.5%,79
Total FG%,57.1%,N/A,N/A,N/A,N/A,26.7%,75.0%,33.3%,0.0%,N/A,0.0%,100.0%,57.1%,39.4%
Shooting PPP,1.19,1.14,N/A,N/A,N/A,0.91,1.0,0.0,0.0,N/A,0.0,1.6,1.18,0.87
% of Shooting Poss.,18.3%,5.0%,0.0%,0.0%,0.0%,55.0%,5.0%,3.3%,3.3%,0.0%,1.7%,8.3%,82.4% | 5,75.9% | 23
Shooting FG%,60.0%,N/A,N/A,N/A,N/A,20.0%,50.0%,0.0%,0.0%,N/A,0.0%,100.0%,60.0%,30.4%
Shooting 2pt Att.,5,0,0,0,0,9,1,2,0,0,1,1,5,19
Shooting 2pt FG%,60.0%,N/A,N/A,N/A,N/A,22.2%,100.0%,0.0%,N/A,N/A,0.0%,100.0%,60.0%,36.8%
Shooting 3pt Att.,0,0,0,0,0,1,1,0,2,0,0,0,0,4
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%,N/A,0.0%,N/A,N/A,N/A,nan%,0.0%
Passing PPP,1.5,N/A,N/A,N/A,N/A,1.19,2.0,3.0,N/A,N/A,N/A,N/A,1.5,1.56
% of Passing Poss.,15.8%,0.0%,0.0%,0.0%,0.0%,52.6%,21.1%,10.5%,0.0%,0.0%,0.0%,0.0%,17.6% | 2,24.1% | 10
Passing FG%,50.0%,N/A,N/A,N/A,N/A,40.0%,100.0%,100.0%,N/A,N/A,N/A,N/A,50.0%,60.0%
Passing 2pt Att.,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,nan%,100.0%
Passing 3pt Att.,2,0,0,0,0,5,0,1,0,0,0,0,2,8
Passing 3pt FG%,50.0%,N/A,N/A,N/A,N/A,40.0%,N/A,100.0%,N/A,N/A,N/A,N/A,50.0%,50.0%
