Shot Type,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,18,7,0,4,12,59,11,5,3,1,10,25
shoot2FGM,15,5,0,4,6,33,8,3,3,1,7,18
shoot2FTA,0,0,0,0,0,20,10,2,0,6,2,20
shoot2FTM,0,1,0,0,0,17,8,2,0,5,1,17
shoot2TO,1,0,0,0,0,7,0,7,0,0,0,2
shoot3FGA,1,1,0,0,4,4,1,0,10,2,0,0
shoot3FGM,0,1,0,0,2,3,0,0,5,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,1,0,0,0,0,0,0,0,0,0
pass2FGA,4,9,4,3,4,26,21,4,0,3,1,5
pass2FGM,4,6,3,2,4,21,18,1,0,2,1,4
pass2FTA,4,2,2,0,0,12,9,0,0,0,0,2
pass2FTM,2,2,2,0,2,11,7,0,0,0,0,2
pass2TO,5,1,0,0,3,13,7,0,0,0,0,0
pass3FGA,10,6,2,2,2,50,19,2,1,2,1,0
pass3FGM,6,4,0,1,0,19,10,1,1,2,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,3,0,0,0,0,0,0
