,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,1.0,12.1%,50.0%,1.33,11.1%,66.7%,3,66.7%,0,N/A,0.0,16.7%,0.0%,0,N/A,1,0.0%
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SMART,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.01,39.0%,45.5%,1.01,36.6%,50.0%,6,66.7%,2,0.0%,1.0,50.0%,33.3%,1,0.0%,2,50.0%
Transition,1.84,16.5%,80.0%,1.84,20.1%,80.0%,4,75.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.75,12.1%,33.3%,0.0,7.4%,0.0%,1,0.0%,0,N/A,1.5,33.3%,50.0%,0,N/A,2,50.0%
Catch & Shoot,0.0,3.0%,0.0%,0.0,3.7%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.67,9.1%,66.7%,1.67,11.1%,66.7%,2,50.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.67,9.1%,33.3%,0.67,11.1%,33.3%,3,33.3%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.0,12.1%,50.0%,1.33,75.0%,66.7%,3,66.7%,0,N/A,0,25.0%,0.0%,0,N/A,1,0.0%
TOTAL,1.11,33,50.0%,1.13,81.8%,54.2%,19,57.9%,5,40.0%,1.0,18.2%,33.3%,1,0.0%,5,40.0%
