,CLAXTON,HARRIS,BRIDGES,JOHNSON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,2.11,1.67,1.5,3.0,1.0,1.64,N/A,N/A,0.0,1.0,N/A,2.03,1.49
% of Poss.,0.0%,18.2%,13.6%,6.8%,9.1%,15.9%,25.0%,0.0%,0.0%,4.5%,6.8%,0.0%,47.7%,44
Total FG%,N/A,100.0%,66.7%,50.0%,100.0%,40.0%,50.0%,N/A,N/A,N/A,50.0%,N/A,77.8%,60.0%
Shooting PPP,N/A,N/A,1.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2.0,N/A,1.0,1.2
% of Shooting Poss.,0.0%,0.0%,37.5%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,14.3% | 2,18.2% | 5
Shooting FG%,N/A,N/A,50.0%,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,100.0%,N/A,50.0%,60.0%
Shooting 2pt Att.,0,0,2,0,0,2,0,0,0,0,1,0,2,5
Shooting 2pt FG%,N/A,N/A,50.0%,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,100.0%,N/A,50.0%,60.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Passing PPP,N/A,2.11,3.0,1.5,3.0,1.0,1.64,N/A,N/A,0.0,0.0,N/A,2.28,1.56
% of Passing Poss.,0.0%,22.2%,8.3%,8.3%,11.1%,11.1%,30.6%,0.0%,0.0%,5.6%,2.8%,0.0%,85.7% | 7,81.8% | 15
Passing FG%,N/A,100.0%,100.0%,50.0%,100.0%,33.3%,50.0%,N/A,N/A,N/A,0.0%,N/A,85.7%,60.0%
Passing 2pt Att.,0,0,1,0,0,1,1,0,0,0,0,0,1,3
Passing 2pt FG%,N/A,N/A,100.0%,N/A,N/A,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,66.7%
Passing 3pt Att.,0,2,0,2,2,2,3,0,0,0,1,0,6,12
Passing 3pt FG%,N/A,100.0%,N/A,50.0%,100.0%,50.0%,33.3%,N/A,N/A,N/A,0.0%,N/A,83.3%,58.3%
