,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MORANT,2.0,5.6%,0,100.0%,2.0,6.7%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BANE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
JONES,2.0,11.1%,0,100.0%,2.0,13.3%,0,100.0%,2,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BROOKS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.73,38.2%,1,40.0%,0.77,25.9%,0,33.3%,3,33.3%,0,N/A,0.67,100.0%,1,50.0%,1,100.0%,1,0.0%
Transition,0.0,5.6%,0,0.0%,0.0,6.7%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.6,10.4%,0,100.0%,1.6,12.5%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,16.7%,0,0.0%,0.0,20.0%,0,0.0%,0,N/A,3,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,2.08,8.0%,0,100.0%,2.08,9.6%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,0.0,5.6%,0,0.0%,0.0,6.7%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,2.0,16.7%,0,100.0%,2.0,100.0%,0,100.0%,3,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TOTAL,0.93,18,1,46.7%,0.99,83.3%,0,46.2%,10,60.0%,3,0.0%,0.67,16.7%,1,50.0%,1,100.0%,1,0.0%
