,MITCHELL,GARLAND,LEVERT,OSMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,0.0,1.06,0.0,N/A,N/A,1.17,1.84,0.0,0.0,N/A,2.5,N/A,1.09
% of Poss.,4.3%,10.9%,4.3%,0.0%,0.0%,19.6%,26.1%,2.2%,10.9%,0.0%,21.7%,0.0%,46
Total FG%,0.0%,0.0%,N/A,N/A,N/A,60.0%,75.0%,N/A,0.0%,N/A,100.0%,N/A,47.6%
Shooting PPP,0.0,1.06,0.0,N/A,N/A,0.67,2.33,N/A,0.0,N/A,2.5,N/A,1.06
% of Shooting Poss.,5.7%,14.3%,5.7%,0.0%,0.0%,11.4%,20.0%,0.0%,14.3%,0.0%,28.6%,0.0%,76.1% | 18
Shooting FG%,0.0%,0.0%,N/A,N/A,N/A,33.3%,100.0%,N/A,0.0%,N/A,100.0%,N/A,44.4%
Shooting 2pt Att.,2,1,0,0,0,3,3,0,1,0,4,0,14
Shooting 2pt FG%,0.0%,0.0%,N/A,N/A,N/A,33.3%,100.0%,N/A,0.0%,N/A,100.0%,N/A,57.1%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,4,0,0,0,4
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,0.0%
Passing PPP,N/A,N/A,N/A,N/A,N/A,1.67,1.06,0.0,N/A,N/A,N/A,N/A,1.19
% of Passing Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,45.5%,45.5%,9.1%,0.0%,0.0%,0.0%,0.0%,23.9% | 3
Passing FG%,N/A,N/A,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,66.7%
Passing 2pt Att.,0,0,0,0,0,1,0,0,0,0,0,0,1
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%
Passing 3pt Att.,0,0,0,0,0,1,1,0,0,0,0,0,2
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%
