,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,0.0,N/A,0.4,N/A,0.0,0.0,N/A,0.0,1.5,N/A,N/A,N/A,0.29,0.73
% of Poss.,5.3%,0.0%,31.6%,0.0%,5.3%,5.3%,0.0%,5.3%,47.4%,0.0%,0.0%,0.0%,42.1%,19
Total FG%,0.0%,N/A,20.0%,N/A,N/A,0.0%,N/A,0.0%,50.0%,N/A,N/A,N/A,16.7%,28.6%
Shooting PPP,0.0,N/A,1.0,N/A,0.0,0.0,N/A,N/A,1.2,N/A,N/A,N/A,0.5,0.8
% of Shooting Poss.,7.7%,0.0%,23.1%,0.0%,7.7%,7.7%,0.0%,0.0%,53.8%,0.0%,0.0%,0.0%,62.5% | 3,68.4% | 9
Shooting FG%,0.0%,N/A,50.0%,N/A,N/A,0.0%,N/A,N/A,40.0%,N/A,N/A,N/A,33.3%,33.3%
Shooting 2pt Att.,1,0,2,0,0,0,0,0,0,0,0,0,3,3
Shooting 2pt FG%,0.0%,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.3%,33.3%
Shooting 3pt Att.,0,0,0,0,0,1,0,0,5,0,0,0,0,6
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,40.0%,N/A,N/A,N/A,nan%,33.3%
Passing PPP,N/A,N/A,0.0,N/A,N/A,N/A,N/A,0.0,3.0,N/A,N/A,N/A,0.0,0.6
% of Passing Poss.,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,16.7%,33.3%,0.0%,0.0%,0.0%,37.5% | 3,31.6% | 5
Passing FG%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%,100.0%,N/A,N/A,N/A,0.0%,20.0%
Passing 2pt Att.,0,0,2,0,0,0,0,1,0,0,0,0,2,3
Passing 2pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%,0.0%
Passing 3pt Att.,0,0,1,0,0,0,0,0,1,0,0,0,1,2
Passing 3pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,0.0%,50.0%
