,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,0.0,21.4%,0,0.0%,0.0,12.5%,0,0.0%,1,0.0%,0,N/A,0.0,33.3%,0,0.0%,0,N/A,2,0.0%
REED,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TUCKER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
HARRELL,0.0,7.1%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,16.7%,1,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.0,28.6%,1,0.0%,0.0,25.0%,1,0.0%,1,0.0%,0,N/A,0.0,33.3%,0,0.0%,0,N/A,2,0.0%
Transition,2.0,7.1%,0,100.0%,2.0,12.5%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,2.05,17.4%,0,100.0%,2.05,30.5%,0,100.0%,2,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,14.3%,0,50.0%,1.5,25.0%,0,50.0%,0,N/A,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,3.0,7.1%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,16.7%,0,100.0%,0,N/A,1,100.0%
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.0,28.6%,1,0.0%,0.0,25.0%,0,0.0%,1,0.0%,0,N/A,0,75.0%,1,0.0%,0,N/A,2,0.0%
TOTAL,0.9,14,2,41.7%,1.18,57.1%,1,57.1%,5,60.0%,2,50.0%,0.5,42.9%,1,20.0%,0,nan%,5,20.0%
