,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
JACKSON,2.13,4.9%,0,100.0%,2.27,3.7%,0,N/A,0,N/A,0,N/A,2.0,7.1%,0,100.0%,1,100.0%,0,N/A
CLARKE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TILLMAN,0.84,44.1%,0,33.3%,0.61,41.2%,0,22.2%,9,22.2%,0,N/A,1.16,49.1%,0,50.0%,2,100.0%,4,25.0%
OTHERS,0.0,2.6%,0,0.0%,0.0,4.2%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.39,18.9%,0,40.0%,1.67,17.5%,0,50.0%,2,50.0%,0,N/A,1.0,21.4%,0,33.3%,1,0.0%,2,50.0%
Transition,1.02,18.1%,2,75.0%,1.29,16.2%,0,66.7%,3,66.7%,0,N/A,0.67,21.4%,2,100.0%,1,100.0%,0,N/A
Attacking Closeouts,0.0,2.6%,0,0.0%,0.0,4.2%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,7.9%,0,66.7%,2.0,12.5%,0,66.7%,0,N/A,3,66.7%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,2.6%,0,100.0%,2.0,4.2%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.14,2.3%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.14,6.3%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.0,47.4%,0,35.3%,0.73,61.1%,0,20.0%,10,20.0%,0,N/A,1,38.9%,0,57.1%,3,100.0%,4,25.0%
TOTAL,1.11,38,2,45.2%,1.13,63.2%,0,40.0%,17,35.3%,3,66.7%,1.08,36.8%,2,54.5%,5,80.0%,6,33.3%
