,ALLEN,MOBLEY,LEVERT,GARLAND,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.12,0.87,N/A,0.0,2.33,1.36,1.05,1.47,0.97,1.0,0.0,1.0,1.18
% of Poss.,17.8%,9.0%,0.0%,0.2%,2.3%,35.6%,12.9%,9.2%,8.8%,2.7%,0.2%,1.2%,511
Total FG%,45.8%,40.7%,N/A,0.0%,100.0%,54.8%,53.6%,70.0%,32.4%,40.0%,N/A,50.0%,49.6%
Shooting PPP,1.21,0.95,N/A,N/A,2.2,1.28,1.21,1.38,0.97,1.0,N/A,1.0,1.2
% of Shooting Poss.,15.9%,6.2%,0.0%,0.0%,2.4%,35.9%,14.3%,10.0%,10.7%,3.3%,0.0%,1.4%,82.4% | 200
Shooting FG%,48.4%,40.0%,N/A,N/A,100.0%,51.7%,57.7%,66.7%,32.4%,40.0%,N/A,50.0%,49.5%
Shooting 2pt Att.,19,10,0,0,2,37,18,18,0,5,0,4,113
Shooting 2pt FG%,57.9%,40.0%,N/A,N/A,100.0%,56.8%,72.2%,66.7%,N/A,40.0%,N/A,50.0%,59.3%
Shooting 3pt Att.,12,5,0,0,2,21,8,0,34,5,0,0,87
Shooting 3pt FG%,33.3%,40.0%,N/A,N/A,100.0%,42.9%,25.0%,N/A,32.4%,40.0%,N/A,N/A,36.8%
Passing PPP,0.94,0.79,N/A,0.0,3.0,1.71,0.0,2.5,N/A,N/A,0.0,N/A,1.11
% of Passing Poss.,26.7%,22.2%,0.0%,1.1%,2.2%,34.4%,6.7%,5.6%,0.0%,0.0%,1.1%,0.0%,17.6% | 50
Passing FG%,41.2%,41.7%,N/A,0.0%,100.0%,66.7%,0.0%,100.0%,N/A,N/A,N/A,N/A,50.0%
Passing 2pt Att.,5,12,0,0,0,5,0,2,0,0,0,0,24
Passing 2pt FG%,100.0%,41.7%,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,N/A,70.8%
Passing 3pt Att.,12,0,0,1,1,10,2,0,0,0,0,0,26
Passing 3pt FG%,16.7%,N/A,N/A,0.0%,100.0%,50.0%,0.0%,N/A,N/A,N/A,N/A,N/A,30.8%
