,MITCHELL,GARLAND,LEVERT,OSMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,0.4,1.74,0.0,N/A,N/A,1.44,1.92,1.5,0.38,N/A,2.0,2.0,1.32
% of Poss.,6.7%,7.8%,2.2%,0.0%,0.0%,28.9%,20.0%,3.3%,10.0%,0.0%,16.7%,4.4%,90
Total FG%,20.0%,50.0%,N/A,N/A,N/A,72.7%,80.0%,100.0%,12.5%,N/A,85.7%,100.0%,58.5%
Shooting PPP,0.4,1.06,0.0,N/A,N/A,1.38,2.25,3.0,0.38,N/A,2.0,2.0,1.28
% of Shooting Poss.,8.0%,6.7%,2.7%,0.0%,0.0%,28.0%,17.3%,2.7%,12.0%,0.0%,20.0%,2.7%,83.3% | 36
Shooting FG%,20.0%,0.0%,N/A,N/A,N/A,66.7%,100.0%,100.0%,12.5%,N/A,85.7%,100.0%,55.6%
Shooting 2pt Att.,5,1,0,0,0,9,4,0,1,0,7,1,28
Shooting 2pt FG%,20.0%,0.0%,N/A,N/A,N/A,66.7%,100.0%,N/A,0.0%,N/A,85.7%,100.0%,64.3%
Shooting 3pt Att.,0,0,0,0,0,0,0,1,7,0,0,0,8
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,14.3%,N/A,N/A,N/A,25.0%
Passing PPP,N/A,3.0,N/A,N/A,N/A,1.67,1.06,0.0,N/A,N/A,N/A,2.0,1.52
% of Passing Poss.,0.0%,13.3%,0.0%,0.0%,0.0%,33.3%,33.3%,6.7%,0.0%,0.0%,0.0%,13.3%,16.7% | 5
Passing FG%,N/A,100.0%,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,100.0%,80.0%
Passing 2pt Att.,0,0,0,0,0,1,0,0,0,0,0,1,2
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,0,1,0,0,0,1,1,0,0,0,0,0,3
Passing 3pt FG%,N/A,100.0%,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,66.7%
