,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,4.0%,0.0%,0.0,7.4%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,3.0,2.0%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,4.3%,100.0%,0,N/A,1,100.0%
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.5,16.0%,28.6%,0.67,22.2%,40.0%,3,66.7%,2,0.0%,0.0,8.7%,0.0%,1,0.0%,1,0.0%
ISO,0.73,40.9%,31.6%,0.83,31.3%,37.5%,8,37.5%,0,N/A,0.67,52.2%,27.3%,2,50.0%,9,22.2%
Transition,2.15,14.9%,85.7%,1.74,12.7%,66.7%,1,100.0%,2,50.0%,2.5,17.4%,100.0%,3,100.0%,1,100.0%
Attacking Closeouts,1.31,13.8%,50.0%,1.03,14.4%,33.3%,2,50.0%,1,0.0%,1.67,13.0%,66.7%,2,50.0%,1,100.0%
Catch & Shoot,2.0,6.0%,66.7%,2.0,11.1%,66.7%,0,N/A,3,66.7%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,4.0%,0.0%,0.0,3.7%,0.0%,1,0.0%,0,N/A,0.0,4.3%,0.0%,0,N/A,1,0.0%
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.64,22.0%,30.0%,0.5,72.7%,28.6%,3,66.7%,4,0.0%,1,27.3%,33.3%,1,0.0%,2,50.0%
TOTAL,1.04,50,42.6%,0.97,54.0%,40.0%,15,46.7%,10,30.0%,1.13,46.0%,45.5%,8,62.5%,14,35.7%
