,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,2.0,8.2%,80.0%,2.67,7.7%,100.0%,2,100.0%,1,100.0%,1.0,9.1%,50.0%,2,50.0%,0,N/A
HORFORD,1.84,8.0%,75.0%,1.6,4.8%,100.0%,1,100.0%,0,N/A,2.0,13.6%,66.7%,0,N/A,3,66.7%
GRANT,0.69,4.7%,0.0%,0.0,2.6%,0.0%,1,0.0%,0,N/A,1.06,8.5%,0.0%,0,N/A,1,0.0%
TATUM,0.0,4.9%,0.0%,0.0,2.6%,0.0%,1,0.0%,0,N/A,0.0,9.1%,0.0%,0,N/A,2,0.0%
OTHERS,1.11,14.8%,50.0%,0.67,15.4%,33.3%,6,33.3%,0,N/A,2.0,13.6%,100.0%,0,N/A,2,100.0%
ISO,1.33,4.9%,66.7%,1.0,5.1%,50.0%,1,100.0%,1,0.0%,2.0,4.5%,100.0%,1,100.0%,0,N/A
Transition,0.88,20.4%,50.0%,1.09,16.5%,60.0%,4,75.0%,1,0.0%,0.67,27.3%,40.0%,2,100.0%,3,0.0%
Attacking Closeouts,0.33,9.8%,20.0%,0.5,10.3%,33.3%,3,33.3%,0,N/A,0.0,9.1%,0.0%,0,N/A,2,0.0%
Catch & Shoot,0.9,16.4%,30.0%,0.9,25.6%,30.0%,0,N/A,10,30.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,1.6%,0.0%,0.0,2.6%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.02,8.9%,100.0%,2.03,8.8%,100.0%,3,100.0%,0,N/A,2.0,9.1%,100.0%,2,100.0%,0,N/A
PNR / DHO,1.35,37.7%,50.0%,1.25,52.2%,50.0%,11,45.5%,1,100.0%,1,47.8%,50.0%,2,50.0%,8,50.0%
TOTAL,1.09,61,48.2%,1.06,63.9%,47.2%,23,56.5%,13,30.8%,1.14,36.1%,50.0%,7,85.7%,13,30.8%
