,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,2.06,12.5%,100.0%,2.08,15.2%,100.0%,1,100.0%,1,100.0%,2.0,8.3%,100.0%,1,100.0%,0,N/A
MOBLEY,0.8,16.1%,50.0%,1.33,15.8%,66.7%,2,100.0%,1,0.0%,0.0,16.7%,0.0%,0,N/A,1,0.0%
LEVERT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
MITCHELL,0.0,3.2%,0.0%,0.0,5.3%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.93,38.3%,45.5%,0.34,30.9%,20.0%,4,25.0%,1,0.0%,1.5,50.0%,66.7%,3,100.0%,3,33.3%
Transition,0.67,9.7%,50.0%,1.0,10.5%,100.0%,1,100.0%,0,N/A,0.0,8.3%,0.0%,0,N/A,1,0.0%
Attacking Closeouts,0.8,16.1%,50.0%,0.67,15.8%,50.0%,2,50.0%,0,N/A,1.0,16.7%,50.0%,2,50.0%,0,N/A
Catch & Shoot,1.5,6.5%,50.0%,1.5,10.5%,50.0%,0,N/A,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.33,29.0%,62.5%,1.67,66.7%,66.7%,3,100.0%,3,33.3%,1,33.3%,50.0%,1,100.0%,1,0.0%
TOTAL,1.01,31,51.9%,0.96,61.3%,50.0%,10,60.0%,6,33.3%,1.08,38.7%,54.5%,6,83.3%,5,20.0%
