,ALLEN,MOBLEY,LEVERT,MITCHELL,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,0.76,1.2,N/A,0.67,0.0,0.76,1.29,N/A,3.0,2.27,N/A,N/A,0.93
% of Poss.,30.5%,13.6%,0.0%,6.8%,3.4%,22.0%,13.6%,0.0%,3.4%,6.8%,0.0%,0.0%,59
Total FG%,30.0%,60.0%,N/A,33.3%,0.0%,28.6%,66.7%,N/A,100.0%,N/A,N/A,N/A,38.7%
Shooting PPP,0.87,1.0,N/A,0.0,0.0,0.76,1.04,N/A,3.0,2.27,N/A,N/A,0.9
% of Shooting Poss.,27.9%,7.0%,0.0%,4.7%,2.3%,30.2%,14.0%,0.0%,4.7%,9.3%,0.0%,0.0%,72.9% | 21
Shooting FG%,33.3%,50.0%,N/A,0.0%,0.0%,28.6%,50.0%,N/A,100.0%,N/A,N/A,N/A,33.3%
Shooting 2pt Att.,5,1,0,1,1,6,1,0,0,0,0,0,15
Shooting 2pt FG%,40.0%,100.0%,N/A,0.0%,0.0%,33.3%,100.0%,N/A,N/A,N/A,N/A,N/A,40.0%
Shooting 3pt Att.,1,1,0,1,0,1,1,0,1,0,0,0,6
Shooting 3pt FG%,0.0%,0.0%,N/A,0.0%,N/A,0.0%,0.0%,N/A,100.0%,N/A,N/A,N/A,16.7%
Passing PPP,0.6,1.33,N/A,2.0,0.0,N/A,2.0,N/A,N/A,N/A,N/A,N/A,1.0
% of Passing Poss.,37.5%,31.2%,0.0%,12.5%,6.2%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,27.1% | 10
Passing FG%,25.0%,66.7%,N/A,100.0%,0.0%,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,50.0%
Passing 2pt Att.,2,2,0,1,0,0,1,0,0,0,0,0,6
Passing 2pt FG%,0.0%,100.0%,N/A,100.0%,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,66.7%
Passing 3pt Att.,2,1,0,0,1,0,0,0,0,0,0,0,4
Passing 3pt FG%,50.0%,0.0%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.0%
