Shot Type,ROB,HORFORD,GRANT,SMART,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,3,8,5,3,4,69,27,21,1,1,1,3
shoot2FGM,2,3,1,2,1,30,19,14,1,1,1,3
shoot2FTA,5,2,2,8,0,64,21,12,0,0,0,0
shoot2FTM,5,2,2,7,0,55,20,8,0,0,0,0
shoot2TO,1,2,3,1,0,6,4,1,0,0,0,0
shoot3FGA,3,14,5,5,2,37,2,0,47,5,0,0
shoot3FGM,1,2,2,1,1,11,0,0,18,2,0,0
shoot3FTA,0,0,0,0,0,12,2,0,6,1,0,0
shoot3FTM,0,0,0,0,0,10,2,0,6,1,0,0
shoot3TO,0,0,0,1,0,1,0,0,2,0,0,0
pass2FGA,2,0,2,0,0,0,4,0,0,0,0,0
pass2FGM,2,0,0,0,0,0,4,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,1,0,0,0,0,0,2,0,0,0,0,0
pass2TO,0,0,0,1,0,1,2,1,0,0,0,0
pass3FGA,2,8,6,4,2,14,5,4,0,1,0,0
pass3FGM,2,2,1,1,1,8,3,1,0,1,0,0
pass3FTA,0,0,0,0,0,1,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,1,0,0,0,0
