,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.8,20.8,0,40.0,0.67,20.0,33.3,2,50.0,1,0.0,1.0,22.2,50.0,1,100.0,1,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.2,20.8,1,75.0,1.0,26.7,66.7,2,100.0,1,0.0,2.0,11.1,100.0,1,100.0,0,N/A
TRANSITION,0.67,12.5,1,50.0,1.0,13.3,100.0,1,100.0,0,N/A,0.0,11.1,0.0,0,N/A,1,0.0
Attacking Closeouts,0.41,20.3,0,0.0,0.69,19.2,0.0,2,0.0,0,N/A,0.0,22.2,0.0,0,N/A,2,0.0
Catch & Shoot,1.5,8.3,0,50.0,1.5,13.3,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,4.2,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,11.1,0.0,0,N/A,1,0.0
Cutting,0.0,8.3,0,0.0,0.0,13.3,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,8.3,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,22.2,100.0,2,100.0,0,N/A
TOTAL,0.84,24,8.3,40.9,0.82,62.5,38.5,9,44.4,4,25.0,0.89,37.5,44.4,4,100.0,5,0.0
