,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.7,27.8%,2,37.5%,0.4,27.8%,0,20.0%,5,20.0%,0,N/A,1.0,27.8%,2,66.7%,1,100.0%,2,50.0%
GORDON,0.0,2.8%,0,0.0%,0.0,5.6%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,0.0,2.8%,0,0.0%,0.0,5.6%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.87,9.6%,0,33.3%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.87,19.1%,0,33.3%,1,100.0%,2,0.0%
ISO,1.54,27.1%,1,71.4%,2.46,27.1%,0,100.0%,2,100.0%,2,100.0%,0.61,27.1%,1,33.3%,2,50.0%,1,0.0%
Transition,1.0,11.1%,1,66.7%,0.0,5.6%,1,N/A,0,N/A,0,N/A,1.33,16.7%,0,66.7%,2,100.0%,1,0.0%
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.75,11.1%,0,25.0%,0.75,22.2%,0,25.0%,0,N/A,4,25.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.25,11.1%,0,50.0%,2.5,11.1%,0,100.0%,1,100.0%,1,100.0%,0.0,11.1%,0,0.0%,0,N/A,2,0.0%
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.67,41.7%,2,30.8%,0.29,46.7%,0,14.3%,7,14.3%,0,N/A,1,53.3%,2,50.0%,2,100.0%,4,25.0%
TOTAL,0.99,36,4,45.2%,1.17,50.0%,1,47.1%,10,40.0%,7,57.1%,0.82,50.0%,3,42.9%,6,83.3%,8,12.5%
