,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,0.4,N/A,N/A,N/A,N/A,0.4,0.0,0.0,1.0,N/A,0.0,2.0,0.4,0.5
% of Poss.,27.3%,0.0%,0.0%,0.0%,0.0%,27.3%,4.5%,9.1%,18.2%,0.0%,4.5%,9.1%,27.3%,22
Total FG%,20.0%,N/A,N/A,N/A,N/A,25.0%,0.0%,0.0%,33.3%,N/A,N/A,100.0%,20.0%,25.0%
Shooting PPP,0.0,N/A,N/A,N/A,N/A,0.5,N/A,0.0,1.0,N/A,0.0,2.0,0.0,0.5
% of Shooting Poss.,17.6%,0.0%,0.0%,0.0%,0.0%,29.4%,0.0%,11.8%,23.5%,0.0%,5.9%,11.8%,50.0% | 3,77.3% | 13
Shooting FG%,0.0%,N/A,N/A,N/A,N/A,25.0%,N/A,0.0%,33.3%,N/A,N/A,100.0%,0.0%,23.1%
Shooting 2pt Att.,3,0,0,0,0,2,0,2,0,0,0,1,3,8
Shooting 2pt FG%,0.0%,N/A,N/A,N/A,N/A,50.0%,N/A,0.0%,N/A,N/A,N/A,100.0%,0.0%,25.0%
Shooting 3pt Att.,0,0,0,0,0,2,0,0,3,0,0,0,0,5
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,33.3%,N/A,N/A,N/A,nan%,20.0%
Passing PPP,1.0,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,1.0,0.5
% of Passing Poss.,60.0%,0.0%,0.0%,0.0%,0.0%,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0% | 2,22.7% | 3
Passing FG%,50.0%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%,33.3%
Passing 2pt Att.,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Passing 2pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,1,0,0,0,0,0,1,0,0,0,0,0,1,2
Passing 3pt FG%,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%
