,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,Transition,Attacking Closeouts,Catch & Shoot,Off Ball Screens,Cutting,Off. Rebounds,PNR / DHO,TOTAL
Total PPP,1.01,0.0,1.5,N/A,N/A,1.06,1.83,2.0,N/A,0.0,0.0,0.0,1.01,1.1
% of Poss.,45.0%,2.5%,7.5%,0.0%,0.0%,60.0%,25.0%,5.0%,0.0%,2.5%,2.5%,2.5%,55.0%,40
Total FG%,55.6%,0.0%,50.0%,N/A,N/A,50.0%,80.0%,100.0%,N/A,0.0%,0.0%,0.0%,50.0%,51.4%
Shooting PPP,0.85,0.0,N/A,N/A,N/A,1.27,0.0,2.0,N/A,0.0,N/A,N/A,0.73,0.96
% of Shooting Poss.,47.6%,4.8%,0.0%,0.0%,0.0%,76.2%,9.5%,9.5%,0.0%,4.8%,0.0%,0.0%,50.0%,52.5%
Shooting FG%,40.0%,0.0%,N/A,N/A,N/A,45.5%,0.0%,100.0%,N/A,0.0%,N/A,N/A,33.3%,40.0%
Shooting 2pt Att.,4,0,0,0,0,4,0,1,0,0,0,0,4,9
Shooting 2pt FG%,50.0%,N/A,N/A,N/A,N/A,25.0%,N/A,100.0%,N/A,N/A,N/A,N/A,50.0%,44.4%
Shooting 3pt Att.,1,1,0,0,0,7,1,0,0,1,0,0,2,11
Shooting 3pt FG%,0.0%,0.0%,N/A,N/A,N/A,57.1%,0.0%,N/A,N/A,0.0%,N/A,N/A,0.0%,36.4%
Passing PPP,1.2,N/A,1.5,N/A,N/A,0.67,2.75,N/A,N/A,N/A,0.0,0.0,1.29,1.26
% of Passing Poss.,42.1%,0.0%,15.8%,0.0%,0.0%,42.1%,42.1%,0.0%,0.0%,0.0%,5.3%,5.3%,50.0%,47.5%
Passing FG%,75.0%,N/A,50.0%,N/A,N/A,66.7%,100.0%,N/A,N/A,N/A,0.0%,0.0%,66.7%,66.7%
Passing 2pt Att.,4,0,1,0,0,2,1,0,0,0,0,0,5,8
Passing 2pt FG%,75.0%,N/A,0.0%,N/A,N/A,100.0%,100.0%,N/A,N/A,N/A,N/A,N/A,60.0%,75.0%
Passing 3pt Att.,0,0,1,0,0,1,3,0,0,0,1,1,1,7
Passing 3pt FG%,N/A,N/A,100.0%,N/A,N/A,0.0%,100.0%,N/A,N/A,N/A,0.0%,0.0%,100.0%,57.1%
