,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.93,22.8%,1,100.0%,2.32,18.5%,100.0%,2,100.0%,1,100.0%,1.55,29.8%,100.0%,1,100.0%,1,100.0%
PNR Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,11.8%,1,100.0%,1.67,14.3%,100.0%,1,100.0%,1,100.0%,3.0,7.7%,100.0%,0,N/A,1,100.0%
DHO Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Ball Handler,1.33,17.6%,1,60.0%,2.0,19.0%,75.0%,1,100.0%,3,66.7%,0.0,15.4%,0.0%,0,N/A,1,0.0%
DBL Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISOLATION,0.38,23.2%,0,14.3%,0.17,28.0%,0.0%,3,0.0%,2,0.0%,1.0,15.4%,50.0%,2,50.0%,0,N/A
TRANSITION,1.0,14.7%,1,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.0,38.5%,50.0%,3,33.3%,1,100.0%
Attacking Closeouts,3.0,2.9%,0,100.0%,3.0,4.8%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,2.9%,0,0.0%,0.0,4.8%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,8.8%,0,0.0%,0.0,14.3%,0.0%,2,0.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.18,34,11.8%,51.7%,1.19,61.8%,47.4%,9,44.4%,10,50.0%,1.15,38.2%,60.0%,6,50.0%,4,75.0%
