,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MITCHELL,0.0,8.2%,N/A,0.0,4.6%,N/A,0,N/A,0,N/A,0.0,25.0%,N/A,0,N/A,0,N/A
GARLAND,1.6,8.2%,100.0%,1.6,9.9%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
LEVERT,2.08,6.3%,100.0%,2.08,7.6%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.0,4.3%,100.0%,2.0,5.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.67,26.1%,40.0%,1.0,21.1%,66.7%,3,66.7%,0,N/A,0.0,50.0%,0.0%,0,N/A,2,0.0%
Transition,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.69,12.5%,0.0%,1.06,9.9%,N/A,0,N/A,0,N/A,0.0,25.0%,0.0%,0,N/A,1,0.0%
Catch & Shoot,0.75,17.4%,25.0%,0.75,21.1%,25.0%,0,N/A,4,25.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,13.0%,100.0%,2.0,15.8%,100.0%,3,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,4.3%,100.0%,2.0,5.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.33,26.1%,100.0%,1.6,83.3%,100.0%,3,100.0%,0,N/A,0,16.7%,N/A,0,N/A,0,N/A
TOTAL,1.08,23,58.8%,1.31,82.6%,71.4%,10,90.0%,4,25.0%,0.0,17.4%,0.0%,0,nan%,3,0.0%
