,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MITCHELL,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GARLAND,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
LEVERT,2.0,6.2%,100.0%,2.0,6.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,43.0%,0.0%,0.0,45.9%,0.0%,5,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,6.2%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,100.0%,0.0%,1,0.0%,0,N/A
Catch & Shoot,0.0,12.5%,0.0%,0.0,13.3%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.6,31.2%,80.0%,1.6,33.3%,80.0%,5,80.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,6.2%,100.0%,2.0,6.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.0,6.2%,100.0%,2.0,100.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,0.71,16,40.0%,0.76,93.8%,42.9%,12,50.0%,2,0.0%,0.0,6.2%,0.0%,1,0.0%,0,nan%
