,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,10.0%,0.0%,0.0,20.0%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,30.0%,0.0%,0.0,20.0%,0.0%,1,0.0%,0,N/A,0.0,40.0%,0.0%,0,N/A,1,0.0%
Transition,2.5,20.0%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.5,40.0%,100.0%,2,100.0%,0,N/A
Attacking Closeouts,1.0,20.0%,50.0%,1.0,40.0%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,10.0%,0.0%,0.0,20.0%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,10.0%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,20.0%,0.0%,0,N/A,1,0.0%
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.0,10.0%,0.0%,0.0,100.0%,0.0%,0,nan%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,0.7,10,33.3%,0.4,50.0%,20.0%,3,33.3%,2,0.0%,1.0,50.0%,50.0%,2,100.0%,2,0.0%
