,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.33,8.3%,0,66.7%,2.0,5.9%,100.0%,1,100.0%,0,N/A,1.0,10.5%,50.0%,1,100.0%,1,0.0%
PNR Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Screener,1.29,19.4%,0,57.1%,2.0,5.9%,100.0%,1,100.0%,0,N/A,1.17,31.6%,50.0%,4,50.0%,2,50.0%
DBL Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISOLATION,1.5,27.8%,1,77.8%,1.33,35.3%,80.0%,5,80.0%,0,N/A,1.75,21.1%,75.0%,3,66.7%,1,100.0%
TRANSITION,1.34,22.8%,1,80.0%,1.72,13.6%,100.0%,1,100.0%,0,N/A,1.19,30.9%,75.0%,4,75.0%,0,N/A
Attacking Closeouts,2.0,5.6%,0,100.0%,2.0,11.8%,100.0%,2,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.33,8.3%,0,66.7%,2.0,11.8%,100.0%,2,100.0%,0,N/A,0.0,5.3%,0.0%,0,N/A,1,0.0%
Cutting,1.0,5.6%,0,50.0%,2.0,5.9%,100.0%,1,100.0%,0,N/A,0.0,5.3%,0.0%,0,N/A,1,0.0%
Off. Rebounds,2.0,5.6%,0,100.0%,2.0,11.8%,100.0%,2,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.42,36,5.6%,72.7%,1.73,47.2%,93.3%,15,93.3%,0,N/A,1.16,52.8%,55.6%,12,66.7%,6,33.3%
