,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,1.43,30.4%,1,66.7%,2.0,16.7%,0,100.0%,1,100.0%,0,N/A,1.33,35.3%,1,60.0%,1,100.0%,4,50.0%
KCP,0.0,4.3%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,5.9%,0,0.0%,1,0.0%,0,N/A
PORTER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BROWN,2.0,4.3%,0,100.0%,2.0,16.7%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.79,38.6%,3,40.0%,1.5,33.3%,0,50.0%,1,0.0%,1,100.0%,0.58,40.5%,3,33.3%,1,100.0%,2,0.0%
Transition,2.5,8.7%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.5,11.8%,0,100.0%,1,100.0%,1,100.0%
Attacking Closeouts,2.0,4.3%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,5.9%,0,100.0%,1,100.0%,0,N/A
Catch & Shoot,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,4.3%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,5.9%,0,100.0%,1,100.0%,0,N/A
Cutting,2.0,4.3%,0,100.0%,2.0,16.7%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.13,8.2%,0,100.0%,2.13,31.3%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.33,39.1%,1,62.5%,2.0,22.2%,0,100.0%,2,100.0%,0,N/A,1,77.8%,1,50.0%,2,50.0%,4,50.0%
TOTAL,1.37,23,4,68.4%,1.89,26.1%,0,83.3%,5,80.0%,1,100.0%,1.17,73.9%,4,61.5%,6,83.3%,7,42.9%
