,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.43,2.0,N/A,2.0,0.0,1.42,1.0,1.06,1.0,N/A,1.0,1.86,1.4,1.4
% of Poss.,11.1%,2.2%,0.0%,2.2%,1.1%,40.0%,6.7%,5.6%,3.3%,0.0%,3.3%,24.4%,16.7%,90
Total FG%,75.0%,100.0%,N/A,100.0%,N/A,64.3%,50.0%,0.0%,50.0%,N/A,50.0%,100.0%,83.3%,66.7%
Shooting PPP,1.5,N/A,N/A,2.0,N/A,1.3,2.0,1.06,1.0,N/A,2.0,1.81,1.6,1.47
% of Shooting Poss.,11.5%,0.0%,0.0%,3.3%,0.0%,36.1%,3.3%,8.2%,4.9%,0.0%,3.3%,29.5%,60.0% | 5,67.8% | 21
Shooting FG%,75.0%,N/A,N/A,100.0%,N/A,55.6%,100.0%,0.0%,50.0%,N/A,100.0%,100.0%,80.0%,66.7%
Shooting 2pt Att.,4,0,0,1,0,9,1,1,1,0,1,2,5,20
Shooting 2pt FG%,75.0%,N/A,N/A,100.0%,N/A,55.6%,100.0%,0.0%,100.0%,N/A,100.0%,100.0%,80.0%,70.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,nan%,0.0%
Passing PPP,1.14,2.0,N/A,N/A,0.0,1.6,0.67,N/A,N/A,N/A,0.0,2.0,1.04,1.27
% of Passing Poss.,10.3%,6.9%,0.0%,0.0%,3.4%,48.3%,13.8%,0.0%,0.0%,0.0%,3.4%,13.8%,40.0% | 1,32.2% | 12
Passing FG%,N/A,100.0%,N/A,N/A,N/A,80.0%,33.3%,N/A,N/A,N/A,0.0%,100.0%,100.0%,66.7%
Passing 2pt Att.,0,1,0,0,0,3,1,0,0,0,0,2,1,7
Passing 2pt FG%,N/A,100.0%,N/A,N/A,N/A,100.0%,100.0%,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%
Passing 3pt Att.,0,0,0,0,0,2,2,0,0,0,1,0,0,5
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,50.0%,0.0%,N/A,N/A,N/A,0.0%,N/A,nan%,20.0%
