,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.13,34.9%,66.7%,1.27,39.4%,66.7%,6,66.7%,0,N/A,0.53,23.5%,N/A,0,N/A,0,N/A
JOHNSON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.25,14.3%,50.0%,1.25,20.0%,50.0%,3,33.3%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,2.0,17.9%,80.0%,2.5,10.0%,100.0%,2,100.0%,0,N/A,1.67,37.5%,66.7%,1,100.0%,2,50.0%
Attacking Closeouts,0.5,14.3%,25.0%,0.0,10.0%,0.0%,0,N/A,2,0.0%,1.0,25.0%,50.0%,1,100.0%,1,0.0%
Catch & Shoot,2.0,10.7%,66.7%,2.0,15.0%,66.7%,0,N/A,3,66.7%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.6,6.7%,100.0%,1.14,4.4%,N/A,0,N/A,0,N/A,2.0,12.5%,100.0%,1,100.0%,0,N/A
Cutting,2.0,3.6%,100.0%,2.0,5.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,3.6%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,12.5%,0.0%,0,N/A,1,0.0%
PNR / DHO,1.38,28.6%,66.7%,1.43,87.5%,66.7%,6,66.7%,0,N/A,1,12.5%,N/A,0,N/A,0,N/A
TOTAL,1.32,28,60.0%,1.4,71.4%,61.1%,12,66.7%,6,50.0%,1.13,28.6%,57.1%,3,100.0%,4,25.0%
