,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,2.0,8.7%,100.0%,2.0,5.6%,100.0%,1,100.0%,0,N/A,2.0,20.0%,100.0%,1,100.0%,0,N/A
JOHNSON,2.78,6.3%,100.0%,2.78,8.0%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,2.46,10.6%,100.0%,2.08,8.0%,100.0%,1,100.0%,0,N/A,3.0,20.0%,100.0%,0,N/A,1,100.0%
OTHERS,0.0,8.7%,0.0%,0.0,11.1%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.25,17.4%,50.0%,1.0,11.1%,50.0%,1,100.0%,1,0.0%,1.5,40.0%,50.0%,0,N/A,2,50.0%
Transition,1.2,14.4%,50.0%,1.2,18.4%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,8.7%,0.0%,0.0,5.6%,0.0%,1,0.0%,0,N/A,0.0,20.0%,0.0%,0,N/A,1,0.0%
Catch & Shoot,1.5,17.4%,50.0%,1.5,22.2%,50.0%,0,N/A,4,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,8.7%,0.0%,0.0,11.1%,0.0%,1,0.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.0,30.4%,83.3%,1.8,71.4%,75.0%,2,100.0%,2,50.0%,2,28.6%,100.0%,1,100.0%,1,100.0%
TOTAL,1.25,23,50.0%,1.15,78.3%,46.7%,7,57.1%,8,37.5%,1.6,21.7%,60.0%,1,100.0%,4,50.0%
