,JOKIC,GORDON,BRYANT,GREEN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,2.0,N/A,N/A,2.0,N/A,2.0,1.6,0.0,1.5,N/A,N/A,3.0,1.69
% of Poss.,10.0%,0.0%,0.0%,10.0%,0.0%,10.0%,30.0%,10.0%,20.0%,0.0%,0.0%,10.0%,10
Total FG%,100.0%,N/A,N/A,100.0%,N/A,100.0%,100.0%,0.0%,100.0%,N/A,N/A,100.0%,85.7%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,N/A,1.6,0.0,3.0,N/A,N/A,N/A,1.55
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,20.0%,20.0%,0.0%,0.0%,0.0%,50.0% | 3
Shooting FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,0.0%,100.0%,N/A,N/A,N/A,66.7%
Shooting 2pt Att.,0,0,0,0,0,0,1,0,0,0,0,0,1
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,1,1,0,0,0,2
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,N/A,N/A,N/A,50.0%
Passing PPP,2.0,N/A,N/A,2.0,N/A,2.0,N/A,N/A,0.0,N/A,N/A,3.0,1.8
% of Passing Poss.,20.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,20.0%,0.0%,0.0%,20.0%,50.0% | 4
Passing FG%,100.0%,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 2pt Att.,1,0,0,1,0,1,0,0,0,0,0,0,3
Passing 2pt FG%,100.0%,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%
Passing 3pt Att.,0,0,0,0,0,0,0,0,0,0,0,1,1
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
