,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.0,20.0%,0,50.0%,2.0,20.0%,0,100.0%,1,100.0%,0,N/A,0.0,20.0%,0,0.0%,0,N/A,1,0.0%
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,1.0,20.0%,0,50.0%,0.0,20.0%,0,0.0%,1,0.0%,0,N/A,2.0,20.0%,0,100.0%,1,100.0%,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.33,30.0%,1,100.0%,2.0,40.0%,0,100.0%,2,100.0%,0,N/A,0.0,20.0%,1,N/A,0,N/A,0,N/A
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,3.0,10.0%,0,100.0%,3.0,20.0%,0,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.5,20.0%,0,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.5,40.0%,0,50.0%,0,N/A,2,50.0%
PNR / DHO,1.0,40.0%,0,50.0%,1.0,50.0%,0,50.0%,2,50.0%,0,N/A,1,50.0%,0,50.0%,1,100.0%,1,0.0%
TOTAL,1.4,10,1,66.7%,1.8,50.0%,0,80.0%,4,75.0%,1,100.0%,1.0,50.0%,1,50.0%,1,100.0%,3,33.3%
