,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,0.0,30.8%,0.0%,0.0,27.3%,0.0%,2,0.0%,1,0.0%,0.0,50.0%,0.0%,1,0.0%,0,N/A
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,1.0,15.4%,50.0%,2.0,9.1%,100.0%,1,100.0%,0,N/A,0.0,50.0%,0.0%,0,N/A,1,0.0%
Attacking Closeouts,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.8,38.5%,60.0%,1.8,45.5%,60.0%,0,N/A,5,60.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,7.7%,100.0%,2.0,9.1%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,7.7%,100.0%,2.0,9.1%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.0,30.8%,0.0%,0.0,75.0%,0.0%,2,0.0%,1,0.0%,0,25.0%,0.0%,1,0.0%,0,N/A
TOTAL,1.15,13,46.2%,1.36,84.6%,54.5%,5,60.0%,6,50.0%,0.0,15.4%,0.0%,1,0.0%,1,0.0%
