,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,N/A,0.0,N/A,N/A,N/A,2.5,0.0,0.0,N/A,N/A,N/A,0.0,0.83
% of Poss.,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,50.0%,25.0%,12.5%,0.0%,0.0%,0.0%,12.5%,8
Total FG%,N/A,N/A,0.0%,N/A,N/A,N/A,100.0%,0.0%,0.0%,N/A,N/A,N/A,0.0%,33.3%
Shooting PPP,N/A,N/A,0.0,N/A,N/A,N/A,2.0,0.0,0.0,N/A,N/A,N/A,0.0,0.5
% of Shooting Poss.,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,40.0%,20.0%,20.0%,0.0%,0.0%,0.0%,100.0% | 1,62.5% | 4
Shooting FG%,N/A,N/A,0.0%,N/A,N/A,N/A,100.0%,0.0%,0.0%,N/A,N/A,N/A,0.0%,25.0%
Shooting 2pt Att.,0,0,1,0,0,0,1,1,0,0,0,0,1,3
Shooting 2pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,0.0%,33.3%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,nan%,0.0%
Passing PPP,N/A,N/A,N/A,N/A,N/A,N/A,3.0,0.0,N/A,N/A,N/A,N/A,nan,1.5
% of Passing Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0% | 0,37.5% | 2
Passing FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,nan%,50.0%
Passing 2pt Att.,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,nan%,0.0%
Passing 3pt Att.,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,nan%,100.0%
