,JOKIC,GORDON,JORDAN,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,0.67,N/A,N/A,N/A,N/A,0.0,2.0,N/A,1.29,2.0,1.0,N/A,1.28
% of Poss.,16.7%,0.0%,0.0%,0.0%,0.0%,5.6%,22.2%,0.0%,38.9%,5.6%,11.1%,0.0%,18
Total FG%,50.0%,N/A,N/A,N/A,N/A,N/A,75.0%,N/A,42.9%,100.0%,50.0%,N/A,56.2%
Shooting PPP,0.0,N/A,N/A,N/A,N/A,N/A,1.0,N/A,1.29,2.0,2.0,N/A,1.25
% of Shooting Poss.,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,58.3%,8.3%,8.3%,0.0%,66.7% | 12
Shooting FG%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,42.9%,100.0%,100.0%,N/A,50.0%
Shooting 2pt Att.,1,0,0,0,0,0,2,0,0,1,1,0,5
Shooting 2pt FG%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,100.0%,100.0%,N/A,60.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,7,0,0,0,7
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.9%,N/A,N/A,N/A,42.9%
Passing PPP,1.0,N/A,N/A,N/A,N/A,0.0,3.0,N/A,N/A,N/A,0.0,N/A,1.33
% of Passing Poss.,33.3%,0.0%,0.0%,0.0%,0.0%,16.7%,33.3%,0.0%,0.0%,0.0%,16.7%,0.0%,33.3% | 4
Passing FG%,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,0.0%,N/A,75.0%
Passing 2pt Att.,1,0,0,0,0,0,0,0,0,0,0,0,1
Passing 2pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%
Passing 3pt Att.,0,0,0,0,0,0,2,0,0,0,1,0,3
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,0.0%,N/A,66.7%
