,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.0,8.3%,0,0.0%,0.0,8.3%,0,0.0%,1,0.0%,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
Transition,1.03,32.3%,1,50.0%,1.03,32.3%,1,50.0%,1,0.0%,1,100.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Attacking Closeouts,3.0,8.3%,0,100.0%,3.0,8.3%,0,100.0%,0,N/A,1,100.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,25.0%,0,66.7%,2.0,25.0%,0,66.7%,0,N/A,3,66.7%,N/A,N/A,0,N/A,0,N/A,0,N/A
Off Ball Screens,2.5,16.7%,0,100.0%,2.5,16.7%,0,100.0%,1,100.0%,1,100.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Cutting,1.0,16.7%,0,50.0%,1.0,16.7%,0,50.0%,1,100.0%,1,0.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
PNR / DHO,0.0,8.3%,0,0.0%,0.0,100.0%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TOTAL,1.55,12,1,63.6%,1.55,100.0%,1,63.6%,4,50.0%,7,71.4%,nan,0.0%,0,nan%,0,nan%,0,nan%
