,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,0.86,0.4,1.01,1.36,0.67,1.1,1.18,1.09,1.17,0.81,2.0,0.0,1.0,1.05
% of Poss.,3.7%,2.2%,5.6%,8.2%,1.5%,13.5%,26.6%,25.8%,9.4%,12.4%,0.7%,1.5%,21.3%,267
Total FG%,50.0%,20.0%,37.5%,57.1%,33.3%,50.0%,47.5%,45.2%,38.9%,35.3%,100.0%,0.0%,44.4%,43.5%
Shooting PPP,0.8,1.0,1.02,0.5,0.67,0.95,1.28,1.15,1.17,1.1,2.0,0.0,0.78,1.09
% of Shooting Poss.,3.5%,1.5%,5.4%,3.5%,2.0%,13.8%,29.1%,24.7%,12.3%,13.3%,1.0%,1.0%,56.1% | 20,75.9% | 119
Shooting FG%,50.0%,50.0%,40.0%,16.7%,33.3%,46.2%,51.6%,47.8%,38.9%,54.5%,100.0%,0.0%,35.0%,45.4%
Shooting 2pt Att.,3,1,5,3,1,9,20,16,0,3,1,0,13,62
Shooting 2pt FG%,66.7%,100.0%,40.0%,0.0%,100.0%,55.6%,40.0%,43.8%,N/A,100.0%,100.0%,N/A,46.2%,48.4%
Shooting 3pt Att.,1,1,0,3,2,4,11,7,18,8,0,2,7,57
Shooting 3pt FG%,0.0%,0.0%,N/A,33.3%,0.0%,25.0%,72.7%,57.1%,38.9%,37.5%,N/A,0.0%,14.3%,42.1%
Passing PPP,1.0,0.0,1.0,2.0,N/A,2.16,0.78,0.94,N/A,0.0,N/A,0.0,1.31,0.93
% of Passing Poss.,4.6%,4.6%,6.1%,23.0%,0.0%,12.3%,18.4%,29.1%,0.0%,9.2%,0.0%,3.1%,43.9% | 16,24.4% | 42
Passing FG%,50.0%,0.0%,33.3%,87.5%,N/A,100.0%,33.3%,37.5%,N/A,0.0%,N/A,0.0%,56.2%,38.1%
Passing 2pt Att.,2,0,0,5,0,1,3,0,0,2,0,0,7,13
Passing 2pt FG%,50.0%,N/A,N/A,100.0%,N/A,100.0%,66.7%,N/A,N/A,0.0%,N/A,N/A,85.7%,69.2%
Passing 3pt Att.,0,3,3,3,0,0,6,8,0,4,0,2,9,29
Passing 3pt FG%,N/A,0.0%,33.3%,66.7%,N/A,N/A,16.7%,37.5%,N/A,0.0%,N/A,0.0%,33.3%,24.1%
