,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,N/A,1.5,N/A,3.0,0.5,0.93,2.08,N/A,N/A,2.0,2.0,N/A,1.2
% of Poss.,0.0%,7.4%,0.0%,3.7%,14.8%,51.9%,14.8%,0.0%,0.0%,3.7%,3.7%,0.0%,27
Total FG%,N/A,50.0%,N/A,100.0%,33.3%,54.5%,100.0%,N/A,N/A,100.0%,100.0%,N/A,61.9%
Shooting PPP,N/A,1.5,N/A,N/A,0.67,2.0,1.14,N/A,N/A,2.0,N/A,N/A,1.42
% of Shooting Poss.,0.0%,18.2%,0.0%,0.0%,27.3%,27.3%,18.2%,0.0%,0.0%,9.1%,0.0%,0.0%,40.7% | 9
Shooting FG%,N/A,50.0%,N/A,N/A,33.3%,100.0%,N/A,N/A,N/A,100.0%,N/A,N/A,66.7%
Shooting 2pt Att.,0,2,0,0,3,3,0,0,0,1,0,0,9
Shooting 2pt FG%,N/A,50.0%,N/A,N/A,33.3%,100.0%,N/A,N/A,N/A,100.0%,N/A,N/A,66.7%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%
Passing PPP,N/A,N/A,N/A,3.0,0.0,0.64,2.5,N/A,N/A,N/A,2.0,N/A,1.06
% of Passing Poss.,0.0%,0.0%,0.0%,6.2%,6.2%,68.8%,12.5%,0.0%,0.0%,0.0%,6.2%,0.0%,59.3% | 12
Passing FG%,N/A,N/A,N/A,100.0%,N/A,37.5%,100.0%,N/A,N/A,N/A,100.0%,N/A,58.3%
Passing 2pt Att.,0,0,0,0,0,3,1,0,0,0,1,0,5
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,66.7%,100.0%,N/A,N/A,N/A,100.0%,N/A,80.0%
Passing 3pt Att.,0,0,0,1,0,5,1,0,0,0,0,0,7
Passing 3pt FG%,N/A,N/A,N/A,100.0%,N/A,20.0%,100.0%,N/A,N/A,N/A,N/A,N/A,42.9%
