Shot Type,EMBIID,REED,NIANG,TUCKER,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,9,1,3,4,7,33,10,3,0,0,0,3
shoot2FGM,4,0,1,2,0,16,6,1,0,0,0,3
shoot2FTA,4,0,2,4,0,35,12,4,0,0,0,0
shoot2FTM,4,0,1,4,0,36,9,4,0,0,0,0
shoot2TO,0,0,1,1,0,2,0,2,0,0,1,0
shoot3FGA,17,1,0,3,2,31,1,5,22,0,0,0
shoot3FGM,8,1,0,2,0,14,1,4,9,0,0,0
shoot3FTA,0,0,0,6,0,1,0,0,0,0,0,0
shoot3FTM,0,0,0,6,0,2,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,41,3,0,3,3,14,26,1,0,0,0,0
pass2FGM,26,1,0,1,2,11,16,0,0,0,0,0
pass2FTA,15,2,0,0,0,0,10,0,0,0,0,0
pass2FTM,11,1,0,0,1,0,8,0,0,0,0,0
pass2TO,6,2,0,0,0,6,3,1,0,0,0,0
pass3FGA,13,0,2,2,12,17,8,1,2,2,0,1
pass3FGM,9,0,0,2,4,7,1,1,2,2,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,3,0,0,3,1,4,0,0,0,0,0,0
