,POWELL,WOOD,MCGEE,PINSON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.4,1.0,N/A,N/A,2.0,1.2,1.2,1.0,0.6,0.0,2.0,2.0,1.2
% of Poss.,14.3%,5.7%,0.0%,0.0%,2.9%,28.6%,14.3%,5.7%,14.3%,2.9%,5.7%,5.7%,35
Total FG%,60.0%,50.0%,N/A,N/A,100.0%,55.6%,40.0%,100.0%,20.0%,0.0%,100.0%,100.0%,54.5%
Shooting PPP,1.67,N/A,N/A,N/A,2.0,1.5,3.0,2.0,0.6,0.0,2.0,2.0,1.5
% of Shooting Poss.,12.5%,0.0%,0.0%,0.0%,4.2%,33.3%,8.3%,4.2%,20.8%,4.2%,4.2%,8.3%,68.6% | 23
Shooting FG%,66.7%,N/A,N/A,N/A,100.0%,71.4%,100.0%,100.0%,20.0%,0.0%,100.0%,100.0%,65.2%
Shooting 2pt Att.,3,0,0,0,1,5,0,1,0,1,1,2,14
Shooting 2pt FG%,66.7%,N/A,N/A,N/A,100.0%,80.0%,N/A,100.0%,N/A,0.0%,100.0%,100.0%,78.6%
Shooting 3pt Att.,0,0,0,0,0,2,2,0,5,0,0,0,9
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,50.0%,100.0%,N/A,20.0%,N/A,N/A,N/A,44.4%
Passing PPP,1.0,1.0,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A,2.0,N/A,0.55
% of Passing Poss.,18.2%,18.2%,0.0%,0.0%,0.0%,18.2%,27.3%,9.1%,0.0%,0.0%,9.1%,0.0%,31.4% | 10
Passing FG%,50.0%,50.0%,N/A,N/A,N/A,0.0%,0.0%,N/A,N/A,N/A,100.0%,N/A,30.0%
Passing 2pt Att.,1,1,0,0,0,1,1,0,0,0,1,0,5
Passing 2pt FG%,100.0%,100.0%,N/A,N/A,N/A,0.0%,0.0%,N/A,N/A,N/A,100.0%,N/A,60.0%
Passing 3pt Att.,1,1,0,0,0,1,2,0,0,0,0,0,5
Passing 3pt FG%,0.0%,0.0%,N/A,N/A,N/A,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%
