,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,1.0,5.7%,0,50.0%,2.0,4.5%,0,100.0%,1,100.0%,0,N/A,0.0,7.7%,0,0.0%,0,N/A,1,0.0%
WOOD,0.0,5.7%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,15.4%,0,0.0%,1,0.0%,1,0.0%
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KLEBER,1.0,8.6%,0,33.3%,1.0,13.6%,0,33.3%,1,0.0%,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,1.75,11.4%,0,75.0%,2.0,9.1%,0,100.0%,2,100.0%,0,N/A,1.5,15.4%,0,50.0%,1,0.0%,1,100.0%
ISO,1.03,22.2%,1,40.0%,1.39,26.2%,1,66.7%,2,100.0%,1,0.0%,0.0,15.4%,0,0.0%,0,N/A,2,0.0%
Transition,1.82,39.3%,0,66.7%,1.42,35.3%,0,50.0%,4,50.0%,2,50.0%,2.33,46.2%,0,83.3%,2,50.0%,4,100.0%
Attacking Closeouts,0.0,2.9%,0,0.0%,0.0,4.5%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,5.7%,0,50.0%,1.5,9.1%,0,50.0%,0,N/A,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.09,31.4%,0,45.5%,1.5,54.5%,0,66.7%,4,75.0%,2,50.0%,1,45.5%,0,20.0%,2,0.0%,3,33.3%
TOTAL,1.35,35,1,51.6%,1.38,62.9%,1,55.6%,11,63.6%,7,42.9%,1.31,37.1%,0,46.2%,4,25.0%,9,55.6%
