,POWELL,WOOD,MCGEE,PINSON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,2.0,0.6,2.0,N/A,N/A,1.47,1.25,1.0,1.0,N/A,0.0,N/A,1.27
% of Poss.,15.8%,13.2%,2.6%,0.0%,0.0%,31.6%,10.5%,7.9%,15.8%,0.0%,2.6%,0.0%,38
Total FG%,83.3%,20.0%,100.0%,N/A,N/A,60.0%,50.0%,100.0%,33.3%,N/A,0.0%,N/A,52.9%
Shooting PPP,2.25,0.0,2.0,N/A,N/A,1.31,0.67,0.0,1.0,N/A,N/A,N/A,1.17
% of Shooting Poss.,16.0%,4.0%,4.0%,0.0%,0.0%,32.0%,12.0%,8.0%,24.0%,0.0%,0.0%,0.0%,65.8% | 21
Shooting FG%,100.0%,0.0%,100.0%,N/A,N/A,50.0%,33.3%,N/A,33.3%,N/A,N/A,N/A,52.4%
Shooting 2pt Att.,3,1,1,0,0,4,2,0,0,0,0,0,11
Shooting 2pt FG%,100.0%,0.0%,100.0%,N/A,N/A,50.0%,50.0%,N/A,N/A,N/A,N/A,N/A,63.6%
Shooting 3pt Att.,1,0,0,0,0,2,1,0,6,0,0,0,10
Shooting 3pt FG%,100.0%,N/A,N/A,N/A,N/A,50.0%,0.0%,N/A,33.3%,N/A,N/A,N/A,40.0%
Passing PPP,1.5,0.75,N/A,N/A,N/A,1.75,3.0,3.0,N/A,N/A,0.0,N/A,1.46
% of Passing Poss.,15.4%,30.8%,0.0%,0.0%,0.0%,30.8%,7.7%,7.7%,0.0%,0.0%,7.7%,0.0%,34.2% | 13
Passing FG%,50.0%,25.0%,N/A,N/A,N/A,75.0%,100.0%,100.0%,N/A,N/A,0.0%,N/A,53.8%
Passing 2pt Att.,0,0,0,0,0,3,0,0,0,0,0,0,3
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,66.7%,N/A,N/A,N/A,N/A,N/A,N/A,66.7%
Passing 3pt Att.,2,4,0,0,0,1,1,1,0,0,1,0,10
Passing 3pt FG%,50.0%,25.0%,N/A,N/A,N/A,100.0%,100.0%,100.0%,N/A,N/A,0.0%,N/A,50.0%
