,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,1.02,15.1%,1,44.4%,1.14,15.4%,1,50.0%,4,75.0%,2,0.0%,0.67,14.3%,0,33.3%,2,50.0%,1,0.0%
WOOD,0.96,9.4%,3,66.7%,1.16,7.6%,1,50.0%,1,100.0%,1,0.0%,0.67,14.3%,2,100.0%,1,100.0%,0,N/A
KLEBER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,2.13,2.4%,0,100.0%,2.13,3.3%,0,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.05,33.0%,2,33.3%,1.06,34.6%,2,33.3%,7,28.6%,5,40.0%,1.0,28.6%,0,33.3%,0,N/A,6,33.3%
Transition,1.26,15.2%,2,55.6%,0.87,12.1%,1,40.0%,4,50.0%,1,0.0%,1.8,23.8%,1,75.0%,0,N/A,4,75.0%
Attacking Closeouts,1.29,5.0%,0,33.3%,0.0,3.5%,0,0.0%,2,0.0%,0,N/A,2.66,9.0%,0,100.0%,0,N/A,1,100.0%
Catch & Shoot,1.62,16.7%,0,53.8%,1.75,21.1%,0,58.3%,0,N/A,12,58.3%,0.0,4.8%,0,0.0%,0,N/A,1,0.0%
Off Ball Screens,1.5,2.6%,1,100.0%,3.0,1.8%,0,100.0%,0,N/A,1,100.0%,0.0,4.8%,1,N/A,0,N/A,0,N/A
Cutting,0.0,1.3%,0,0.0%,0.0,1.8%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,1.3%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,4.8%,0,0.0%,0,N/A,1,0.0%
PNR / DHO,1.15,25.6%,4,53.8%,1.36,70.0%,2,55.6%,5,80.0%,4,25.0%,1,30.0%,2,50.0%,3,66.7%,1,0.0%
TOTAL,1.18,78,9,45.8%,1.22,73.1%,5,45.2%,19,42.1%,23,47.8%,1.1,26.9%,4,47.1%,3,66.7%,14,42.9%
