,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,1.14,15.4%,12,53.8%,1.14,12.5%,8,57.9%,29,62.1%,9,44.4%,1.14,20.7%,4,50.0%,12,83.3%,28,35.7%
WOOD,1.25,9.5%,7,62.8%,1.44,8.2%,3,69.6%,16,87.5%,7,28.6%,1.01,11.9%,4,55.0%,11,100.0%,9,0.0%
KLEBER,1.12,4.4%,3,52.2%,1.17,4.5%,2,60.0%,8,87.5%,7,28.6%,1.0,4.1%,1,37.5%,0,N/A,8,37.5%
MCGEE,1.09,2.1%,0,41.7%,1.0,1.3%,0,40.0%,3,66.7%,2,0.0%,1.14,3.6%,0,42.9%,3,66.7%,4,25.0%
OTHERS,1.29,4.5%,1,50.0%,1.3,3.5%,0,46.2%,3,66.7%,10,40.0%,1.29,6.5%,1,53.8%,4,75.0%,9,44.4%
ISO,1.17,49.6%,18,47.1%,1.13,56.3%,10,45.5%,116,51.7%,51,31.4%,1.29,37.4%,8,50.7%,11,63.6%,60,48.3%
Transition,1.13,8.2%,10,52.9%,1.14,5.5%,3,50.0%,11,54.5%,3,33.3%,1.11,13.3%,7,55.0%,8,62.5%,12,50.0%
Attacking Closeouts,1.31,3.2%,2,58.8%,1.14,3.7%,1,53.8%,9,66.7%,4,25.0%,1.8,2.3%,1,75.0%,0,N/A,4,75.0%
Catch & Shoot,1.85,2.1%,0,61.5%,1.85,3.3%,0,61.5%,0,N/A,13,61.5%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.55,0.6%,0,66.7%,1.04,0.7%,0,50.0%,1,100.0%,1,0.0%,3.0,0.5%,0,100.0%,0,N/A,1,100.0%
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,0.5%,0,100.0%,2.0,0.8%,0,100.0%,3,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.19,35.7%,23,54.4%,1.24,54.1%,13,58.5%,59,72.9%,35,34.3%,1,45.9%,10,50.0%,30,86.7%,58,31.0%
TOTAL,1.2,616,53,51.4%,1.19,64.8%,27,51.3%,199,59.8%,107,35.5%,1.2,35.2%,26,51.6%,49,77.6%,135,42.2%
