,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,0.69,14.4%,0.0%,0.0,9.1%,0.0%,1,0.0%,0,N/A,1.06,20.9%,0.0%,0,N/A,1,0.0%
TATUM,0.0,15.0%,0.0%,0.0,9.1%,0.0%,1,0.0%,0,N/A,0.0,22.2%,0.0%,0,N/A,2,0.0%
OTHERS,2.5,10.0%,100.0%,2.0,9.1%,100.0%,1,100.0%,0,N/A,3.0,11.1%,100.0%,0,N/A,1,100.0%
ISO,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,0.92,27.2%,50.0%,2.08,13.1%,100.0%,1,100.0%,0,N/A,0.5,44.4%,33.3%,1,100.0%,2,0.0%
Attacking Closeouts,0.0,5.0%,0.0%,0.0,9.1%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.75,20.0%,25.0%,0.75,36.4%,25.0%,0,N/A,4,25.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,5.0%,0.0%,0.0,9.1%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.05,12.2%,100.0%,2.08,13.1%,100.0%,1,100.0%,0,N/A,2.0,11.1%,100.0%,1,100.0%,0,N/A
PNR / DHO,1.0,35.0%,28.6%,0.67,42.9%,33.3%,3,33.3%,0,N/A,1,57.1%,25.0%,0,N/A,4,25.0%
TOTAL,0.92,20,36.8%,0.93,55.0%,36.4%,7,42.9%,4,25.0%,0.91,45.0%,37.5%,2,100.0%,6,16.7%
