,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.18,21.6%,71.4%,1.29,20.9%,66.7%,18,66.7%,0,N/A,0.91,23.7%,100.0%,3,100.0%,0,N/A
JOHNSON,2.62,2.4%,100.0%,2.62,3.3%,100.0%,1,100.0%,2,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
SIMMONS,2.05,3.5%,75.0%,2.66,1.8%,100.0%,1,100.0%,0,N/A,1.67,8.1%,66.7%,2,50.0%,1,100.0%
FINNEY-SMITH,2.46,1.7%,100.0%,2.08,1.4%,100.0%,1,100.0%,0,N/A,3.0,2.7%,100.0%,0,N/A,1,100.0%
OTHERS,0.0,1.4%,0.0%,0.0,1.9%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.21,17.0%,54.5%,1.28,17.3%,55.6%,14,57.1%,4,50.0%,1.0,16.2%,50.0%,0,N/A,4,50.0%
Transition,1.58,15.7%,65.0%,1.62,13.7%,66.7%,12,66.7%,0,N/A,1.5,21.6%,62.5%,4,75.0%,4,50.0%
Attacking Closeouts,0.68,10.5%,23.1%,0.61,9.4%,12.5%,4,25.0%,4,0.0%,0.8,13.5%,40.0%,2,100.0%,3,0.0%
Catch & Shoot,1.65,14.2%,55.0%,1.74,18.3%,57.9%,1,0.0%,18,61.1%,0.0,2.7%,0.0%,0,N/A,1,0.0%
Off Ball Screens,1.26,6.2%,57.1%,1.22,5.5%,50.0%,3,33.3%,1,100.0%,1.33,8.1%,66.7%,2,100.0%,1,0.0%
Cutting,1.2,3.5%,60.0%,1.2,4.8%,60.0%,4,75.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,2.8%,50.0%,2.0,1.9%,100.0%,2,100.0%,0,N/A,0.0,5.4%,0.0%,0,N/A,2,0.0%
PNR / DHO,1.45,29.8%,74.2%,1.5,71.4%,70.8%,21,71.4%,3,66.7%,1,28.6%,85.7%,5,80.0%,2,100.0%
TOTAL,1.33,141,58.2%,1.41,73.8%,58.7%,61,62.3%,31,51.6%,1.11,26.2%,56.7%,13,84.6%,17,35.3%
