,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,0.67,9.1%,33.3%,0.67,11.5%,33.3%,3,33.3%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ONEAL,0.0,6.1%,0.0%,0.0,3.8%,0.0%,1,0.0%,0,N/A,0.0,14.3%,0.0%,0,N/A,1,0.0%
SIMMONS,1.33,9.1%,66.7%,1.0,7.7%,50.0%,1,100.0%,1,0.0%,2.0,14.3%,100.0%,1,100.0%,0,N/A
FINNEY-SMITH,3.0,3.0%,100.0%,3.0,3.8%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.0,3.0%,0.0%,0.0,3.8%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.3,42.1%,63.6%,1.38,41.8%,75.0%,6,83.3%,2,50.0%,1.0,42.9%,33.3%,0,N/A,3,33.3%
Transition,2.13,5.7%,100.0%,2.13,7.2%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,2.67,9.1%,100.0%,2.0,3.8%,100.0%,1,100.0%,0,N/A,3.0,28.6%,100.0%,0,N/A,2,100.0%
Catch & Shoot,1.0,15.2%,40.0%,1.0,19.2%,40.0%,2,50.0%,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.9,30.3%,40.0%,0.88,80.0%,37.5%,6,33.3%,2,50.0%,1,20.0%,50.0%,1,100.0%,1,0.0%
TOTAL,1.3,33,56.7%,1.23,78.8%,56.5%,16,62.5%,7,42.9%,1.57,21.2%,57.1%,1,100.0%,6,50.0%
