,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.74,20.2%,66.7%,2.08,11.1%,100.0%,1,100.0%,0,N/A,1.5,50.0%,50.0%,0,N/A,2,50.0%
FINNEY-SMITH,0.0,5.9%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,25.0%,0.0%,0,N/A,1,0.0%
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
JOHNSON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.83,35.3%,33.3%,1.0,38.5%,40.0%,4,25.0%,1,100.0%,0.0,25.0%,0.0%,0,N/A,1,0.0%
Transition,2.27,5.2%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,2.27,22.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,23.5%,66.7%,1.0,30.8%,66.7%,2,100.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,17.6%,0.0%,0.0,23.1%,0.0%,0,N/A,3,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.5,23.5%,50.0%,3.0,25.0%,100.0%,1,100.0%,0,N/A,1,75.0%,33.3%,0,N/A,3,33.3%
TOTAL,0.93,17,37.5%,0.89,76.5%,41.7%,7,57.1%,5,20.0%,1.02,23.5%,25.0%,0,nan%,4,25.0%
