,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.0,7.7%,0,0.0%,0.0,10.0%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.0,7.7%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,33.3%,0,0.0%,0,N/A,1,0.0%
ISO,3.0,7.7%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,33.3%,0,100.0%,0,N/A,1,100.0%
Transition,1.33,23.1%,0,66.7%,1.33,30.0%,0,66.7%,2,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.5,30.8%,0,25.0%,0.0,30.0%,0,0.0%,2,0.0%,1,0.0%,2.0,33.3%,0,100.0%,1,100.0%,0,N/A
Catch & Shoot,0.0,15.4%,0,0.0%,0.0,20.0%,0,0.0%,0,N/A,2,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,7.7%,0,100.0%,2.0,10.0%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.0,15.4%,0,0.0%,0.0,50.0%,0,0.0%,1,0.0%,0,N/A,0,50.0%,0,0.0%,0,N/A,1,0.0%
TOTAL,0.85,13,0,38.5%,0.6,76.9%,0,30.0%,6,50.0%,4,0.0%,1.67,23.1%,0,66.7%,1,100.0%,2,50.0%
