,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,5.6%,1,N/A,0.0,6.2%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Ball Handler,1.75,22.2%,0,75.0%,1.67,18.8%,66.7%,2,50.0%,1,100.0%,2.0,50.0%,100.0%,1,100.0%,0,N/A
DHO Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISOLATION,0.0,5.6%,0,0.0%,0.0,6.2%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TRANSITION,1.35,24.7%,0,50.0%,1.74,21.5%,66.7%,2,50.0%,1,100.0%,0.0,50.0%,0.0%,1,0.0%,0,N/A
Attacking Closeouts,1.04,16.0%,0,50.0%,1.04,18.0%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,22.2%,0,50.0%,1.5,25.0%,50.0%,0,N/A,4,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.6%,0,0.0%,0.0,6.2%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.2,18,5.6%,50.0%,1.23,88.9%,50.0%,7,42.9%,7,57.1%,1.0,11.1%,50.0%,2,50.0%,0,nan%
